Row,max Value for Window 75-130,Latency at max for Window 75-130,min Value for Window 100-230,Latency at min for Window 100-230,Global Max Value,Latency at Global Max,Global Min Value,Latency at Global Min,All Maxes (with Values),All Mins (with Values),Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230,Area Under Curve for Window 75-130,Area Under Curve for Window 100-230,Global Area Under the Curve,50% Area Under Curve for Window75-130,Latency at 50% Area Under Curve for Window75-130,50% Area Under Curve for Window100-230,Latency at 50% Area Under Curve for Window100-230,Global 50% Area Under Curve,Latency at 50% Area Under the Curve
"Trial 1",1.72980491333333,113,-2.70063296666667,215,5.3591458,280,-3.97057843333333,0,"11(3.14) 30(1.68) 62(1.31) 82(1.54) 113(1.73) 146(3.2) 195(3.67) 237(4.74) 280(5.36) 326(4.87) 372(2.51) 397(2.9) 429(3.17) ","22( 1.18) 45( -1.57) 71( 0.88) 98( -0.64) 128( -0.82) 165( -1.28) 215( -2.7) 259( -3.39) 305( -2.81) 350( -0.51) 385( 1.21) 413( -1.1) 441( 1.19) ",0.552218421785714,0.691692527022901,48.9004057283333,192.908793006667,793.154725236667,24.72197062,106,96.3854012616667,185,396.416099193333,256
"Trial 2",3.93364223,109,-3.66930349666667,125,4.91764911,353,-4.11305697666667,11,"30(2.59) 60(3.18) 109(3.93) 140(2.71) 168(1.2) 192(1.78) 217(-0.01) 245(3.48) 274(-1.1) 297(3.86) 322(-0.4) 353(4.92) 394(2) 430(3.06) 447(2.75) ","11( -4.11) 45( -2.24) 78( -2.42) 125( -3.67) 154( -1.64) 179( -0.25) 207( -0.75) 228( -1.06) 264( -1.39) 275( -1.1) 315( -0.74) 335( -2.01) 372( -1.8) 412( -1.37) 440( 2.38) ",-0.411355191071428,0.283042087251908,117.957798376667,170.10587822,721.014133855,60.138631775,108,85.0104498466667,135,361.131199316667,239
"Trial 3",2.56467867,117,-3.1775589,204,5.99196974,36,-5.96894884,18,"3(2.25) 36(5.99) 83(2.21) 117(2.56) 160(1.49) 187(1.96) 223(3.66) 284(2.33) 321(4.53) 351(3.01) 381(3.26) 424(2.23) ","18( -5.97) 56( -2.69) 100( -2.07) 139( -1.87) 173( -0.05) 204( -3.18) 248( -1.13) 304( -2.93) 337( -2.7) 366( -1.81) 399( -1.17) 442( -0.32) ",0.656873567142857,0.347997820076336,79.8366168633333,193.18601142,751.452156901667,40.132916215,102,95.7754548633333,184,376.886670723334,207
"Trial 4",1.65565677666667,120,-3.31745076333333,212,4.08694887,429,-3.31745076333333,212,"15(3.32) 67(4.01) 101(0.58) 120(1.66) 167(3.45) 196(2.95) 230(3.33) 274(0.74) 305(2.41) 344(3.09) 377(3.26) 429(4.09) ","48( -3.01) 84( -1.74) 104( 0.57) 148( -1.73) 182( -1.16) 212( -3.32) 261( -0.1) 287( -0.05) 326( -1.05) 361( -1.73) 409( -0.94) ",0.336367593928571,0.503598126208651,53.941910825,194.973019,650.625362645,26.8454818883333,109,96.74605795,173,324.486554201667,211
"Trial 5",2.62475172666667,98,-5.17501068333333,229,5.86193434666667,345,-5.48755216666667,328,"11(3.45) 43(2.41) 65(2.26) 98(2.62) 123(0.7) 156(2.1) 210(5.33) 248(4.97) 283(0.62) 311(5.13) 345(5.86) 377(2.02) 400(1.02) 435(2.17) ","27( -4.07) 54( 0.66) 81( -3.12) 113( 0.12) 138( -0.95) 192( -1.53) 229( -5.18) 269( -1.59) 294( -0.55) 328( -5.49) 362( -2.12) 391( 0.63) 416( -0.48) ",0.149406094880952,0.454444866692112,73.0972559816666,185.797765841667,795.287905181667,36.86731584,94,92.3764960866667,205,397.052880416667,235
"Trial 6",3.86121610666667,96,-7.02604357666667,201,7.15971692333333,183,-7.02604357666667,201,"13(1.07) 34(1.07) 61(2.58) 96(3.86) 134(3.54) 183(7.16) 218(4.44) 260(3.49) 293(1.51) 331(1.01) 361(2.04) 398(6.69) 437(2.52) ","24( -0.31) 47( -1.18) 77( -4.57) 116( -3.09) 158( -3.3) 201( -7.03) 236( -2.61) 278( -2.81) 308( -0.92) 347( -0.4) 378( -4.82) 418( -4.77) ",-0.303294411309524,0.0711606570737913,128.882944343333,375.98228403,950.717108190001,64.3410236716667,97,189.128829531667,181,475.39973487,205
"Trial 7",3.734164,106,-3.98353791333333,130,6.46643225333333,66,-5.99722576333333,84,"24(2.97) 66(6.47) 106(3.73) 151(2.78) 207(3) 243(1.84) 272(4.01) 320(2.84) 351(0.41) 383(1) 428(0.36) ","4( -3.2) 47( -5.1) 84( -6) 130( -3.98) 180( -2.59) 227( -3.67) 257( -2.21) 291( -3.7) 338( -1.95) 365( -1.57) 414( -1.35) 443( -2.32) ",-0.81102052952381,0.0600812385750636,161.238510436667,272.482077736667,866.542439489999,80.3448471866667,99,135.638523686667,155,433.84092331,155
"Trial 8",8.20378732666667,75,-2.96848392333333,224,10.0123386366667,71,-12.5924930566667,53,"32(8.76) 71(10.01) 103(0.73) 126(1.44) 157(1.06) 178(-0.54) 207(1.68) 242(2.57) 279(0.56) 323(0.99) 349(0.37) 381(2.47) 420(1.28) 436(2.42) ","7( -4.91) 53( -12.59) 89( -5.15) 114( -0.81) 141( -2.08) 174( -0.58) 190( -1.02) 224( -2.97) 259( -2.3) 306( -1.62) 337( -0.92) 364( -1.8) 400( -3.52) 424( 1.23) ",-0.262321381785714,-0.284934548854962,104.590479118333,125.630231473333,921.532395745,54.11908076,89,62.7815375616667,181,463.49805586,77
"Trial 9",3.64226440333333,93,-3.13369457,203,4.64958048,352,-5.50109863333333,77,"12(2.16) 32(0.46) 61(4.58) 93(3.64) 123(1.15) 164(1.89) 188(0.12) 221(3.49) 247(-0.85) 289(2.34) 323(-0.64) 352(4.65) 403(1.3) 417(1.62) ","24( -0.28) 46( -2.64) 77( -5.5) 108( -2) 145( -1.72) 179( -0.64) 203( -3.13) 240( -1.03) 261( -1.97) 310( -2.29) 334( -1.97) 372( -4.05) 404( 1.3) 438( -4.25) ",-0.240948349047619,-0.0735158970737913,106.052828256667,165.778787653333,740.918655911667,54.11367483,92,82.9732709383333,184,370.23609701,235
"Trial 10",2.41847856666667,116,-4.77199236333333,151,5.79671081,168,-4.77199236333333,151,"20(3.34) 59(2.16) 86(2.36) 116(2.42) 135(0.96) 168(5.8) 220(1.47) 266(3.62) 307(1.22) 340(2.24) 382(3.08) 415(1.97) 441(-0.19) ","43( -3.07) 73( -1.64) 101( -3.06) 128( 0.48) 151( -4.77) 186( -3.25) 247( -2.5) 285( -2.58) 324( -1.12) 360( -2.73) 400( -2.57) 430( -1.38) ",0.301915270773809,0.108400298498728,84.0561747533333,243.505482803333,724.729255338334,43.1424677966667,102,120.665614636667,164,360.967626395,184
"Trial 11",2.25687432333333,87,-3.17615262666667,207,4.03044827333333,228,-4.6143109,71,"4(1.84) 52(3.81) 87(2.26) 108(1.32) 136(1.9) 166(2.75) 190(0.78) 228(4.03) 281(2.82) 308(0.98) 340(2.7) 386(1.81) 414(1.1) 442(2.72) ","24( -3.03) 71( -4.61) 99( 0.41) 122( -1.92) 150( -2.72) 180( -0.39) 207( -3.18) 253( -2.44) 296( -0.76) 322( -2.98) 370( -1.49) 401( -1.37) 427( -1.36) ",0.174811395297619,0.133071389770992,66.5565646333333,190.698919468333,681.918612646667,33.5998373866667,96,95.7494407916667,169,340.231707256667,209
"Trial 12",3.56440711,100,-4.19247889333333,219,5.60907943666667,389,-4.70340975333333,372,"34(1.21) 55(0.97) 100(3.56) 126(1.47) 159(1.51) 173(1.8) 204(3.41) 236(2.6) 254(1.79) 285(-0.06) 307(4.34) 341(1.34) 355(1.86) 389(5.61) 417(-1.76) 439(2.39) ","16( -2.05) 45( 0.81) 81( -3.1) 114( -1.08) 141( -3.03) 164( 1.37) 189( -2.85) 219( -4.19) 246( 1.23) 271( -3.1) 292( -0.52) 324( -3.98) 346( 1.21) 372( -4.7) 407( -2.32) 421( -1.81) ",0.16497490125,-0.0637105725954199,95.5828790650001,218.309709193333,770.810128331667,47.3615873116667,97,108.594285135,176,384.693946835,251
"Trial 13",5.16523202333333,124,-4.18825928333333,207,5.16523202333333,124,-4.18825928333333,207,"11(2.53) 43(1.52) 74(4.23) 124(5.17) 186(3.84) 225(3.18) 256(1.12) 289(0.69) 317(1.84) 348(2.64) 376(1.23) 400(1.26) 425(1.65) ","29( -1.64) 57( -2.24) 97( -2.78) 145( -2.82) 207( -4.19) 241( -1.01) 273( -0.4) 303( -0.58) 333( -1.89) 363( -1.74) 388( -0.35) 413( -0.47) 440( -3.36) ",0.645887765892857,0.342722302544529,142.722086803333,296.03979417,667.243698518334,71.0965122666667,106,147.84444536,166,332.864742391667,179
"Trial 14",2.58062221666667,75,-2.30470736666667,117,4.11168384333333,283,-3.06554468333333,0,"18(3.41) 45(-0.74) 74(2.6) 103(1.83) 133(2.41) 173(1.61) 205(1.14) 234(1.67) 283(4.11) 323(1.36) 358(0.88) 385(1.17) 416(1.43) ","39( -0.85) 57( -1.52) 89( -1.31) 117( -2.3) 151( -1.25) 190( -1.38) 218( -0.89) 265( -2.64) 301( -2.55) 343( -0.72) 371( -0.69) 400( -0.76) 440( -1.89) ",0.0718448819047619,0.146844541603053,67.539790555,133.382715663333,513.190796346666,33.890200295,104,66.867943015,149,256.201501481667,206
"Trial 15",2.36801314666667,75,-2.54288029333333,139,5.63829088333333,441,-4.27675589,414,"9(2.17) 42(1.8) 73(2.45) 104(0.81) 123(1.56) 156(4.42) 205(3.46) 260(2.75) 302(1.38) 329(2.97) 362(2.61) 393(4.43) 441(5.64) ","26( -0.98) 58( -1.31) 89( -1.08) 111( 0.52) 139( -2.54) 177( -2.32) 229( -1.22) 283( -1.56) 314( 0.05) 346( -3.32) 376( -1.25) 414( -4.28) ",0.54930941375,0.483153842086514,48.087029905,213.245833293333,734.318009401666,24.2393727233333,104,107.436010261667,164,367.368450616667,264
"Trial 16",3.97197667666667,98,-4.72369162333333,167,4.80147838333333,182,-4.72369162333333,167,"25(0.5) 51(3.32) 98(3.97) 129(1.38) 151(3.18) 182(4.8) 216(0.68) 236(1.97) 277(2.75) 305(1.1) 354(2.04) 395(2.28) 423(2.08) ","14( -1.5) 37( -1.63) 68( -2.42) 115( -3.95) 139( -0.23) 167( -4.72) 199( -3.22) 220( 0.63) 258( -3.08) 293( -0.58) 322( -2.13) 377( -2.77) 409( -1.39) 438( -2.6) ",0.0178124192261905,-0.0198826701526718,106.852262411667,251.10410447,706.830174948334,53.6474789816667,103,127.450076853333,167,352.744093503333,193
"Trial 17",4.52367758666667,117,-3.52884825333333,138,4.52367758666667,117,-3.52884825333333,138,"15(0.49) 40(1.43) 76(1.75) 117(4.52) 159(2.13) 181(0.71) 217(3.21) 268(3.65) 297(0.33) 326(3.87) 364(2.15) 400(2.91) 433(2.52) ","2( -1.56) 26( -0.51) 56( -1.16) 97( -3.22) 138( -3.53) 174( 0.52) 199( -2.79) 249( -2.62) 285( -1.62) 309( -1.94) 344( -3.21) 384( -1.82) 417( -3.26) 447( -0.38) ",0.575449596011905,0.383986881323155,117.304340005,240.900654146667,690.768467045,58.6048954016667,110,120.45236471,148,345.621282795,239
"Trial 18",0.96287801,117,-2.95010988,149,3.81112687,339,-5.00104220666667,412,"27(3.49) 63(1.52) 86(0.25) 117(0.96) 132(0.98) 165(2.68) 194(1.44) 217(0.19) 245(2.58) 278(3.45) 311(2.86) 339(3.81) 370(2.44) 395(3.22) 432(3.26) ","8( -3.12) 46( -3.07) 76( -0.28) 100( -1.56) 125( 0.7) 149( -2.95) 180( -2.14) 207( -0.62) 230( -1.81) 261( -3.17) 295( -3.79) 325( -2.76) 355( -4.62) 382( -1.04) 412( -5) ",-0.0403735126190476,-0.130996013129771,36.7541706,139.915073041667,740.071667871667,18.035801315,104,69.9017881583333,162,368.970209743333,277
"Trial 19",3.23910641666667,97,-3.35984706666667,143,5.89572159333333,311,-6.27421617333333,240,"7(1.3) 47(3.47) 97(3.24) 127(1.12) 163(2.75) 221(5.07) 260(4.34) 311(5.9) 346(1.85) 375(1.26) 421(3.67) 446(-0.33) ","26( -2.65) 73( -3.41) 114( -1.56) 143( -3.36) 199( -2.92) 240( -6.27) 292( -4.41) 329( -4.82) 359( -1.12) 403( -3.18) 437( -1.42) ",0.193800110714286,0.141059301603053,86.1033833383333,238.215707596667,913.221715463333,41.5223229616667,96,119.177644485,181,456.10278908,238
"Trial 20",5.11537091,112,-3.34949763666667,100,5.11537091,112,-5.99050983,94,"22(1.12) 55(2.05) 78(1.99) 112(5.12) 141(-0.49) 168(0.88) 211(0.24) 236(0.65) 275(1.53) 298(-0.67) 333(1.87) 378(4.4) 416(1.67) 424(1.64) ","10( -0.68) 39( -3.38) 67( 0.26) 94( -5.99) 129( -2.12) 151( -1.16) 194( -0.95) 222( -0.19) 254( -2.07) 296( -0.68) 313( -1.48) 359( -3.17) 396( -4.51) 422( 1.63) 445( -3.58) ",-0.240789862142857,0.0487127430279898,157.129612125,134.365930198333,642.690675505,80.05874812,100,67.30367548,125,321.693975656666,253
"Trial 21",3.35740137333333,75,-3.36952495333333,160,3.41906070666667,74,-3.37233066666667,23,"5(3.16) 41(3.3) 74(3.42) 108(2.01) 142(2.51) 177(3.17) 203(1.24) 233(1.21) 252(0.64) 298(1.17) 334(2.12) 370(0.73) 401(0.93) 440(1.58) ","23( -3.37) 58( -2.24) 91( -2.87) 124( -0.66) 160( -3.37) 191( -0.68) 217( -1.34) 245( 0.51) 267( -0.67) 316( -1.66) 352( -0.69) 385( -0.12) 420( -0.62) ",0.078953459047619,0.352145926157761,74.497217265,164.17018083,518.373533991666,36.7117402583333,93,82.6107164183334,161,259.171233415,150
"Trial 22",4.13125856666667,106,-3.71385002333333,123,4.13125856666667,106,-3.71385002333333,123,"9(2.28) 54(2.47) 106(4.13) 139(1.67) 163(1.88) 192(1.33) 222(0.55) 240(1.36) 274(3.46) 308(1.54) 336(1.31) 379(1.56) 407(-0.38) 433(1.03) ","29( -2.07) 80( -1.9) 123( -3.71) 151( -0.63) 178( -1.74) 207( -1.07) 227( 0.46) 257( -2.77) 292( -2.7) 322( -0.54) 355( -1.48) 399( -0.52) 416( -0.58) 448( -0.99) ",-0.319618909642857,0.209351220076336,121.097337368333,167.458521301667,534.608988705,58.703304035,106,84.0345568266667,130,266.825080395,175
"Trial 23",7.89590057,113,-8.35833708666667,135,7.89590057,113,-8.35833708666667,135,"24(-0.04) 67(6.26) 113(7.9) 156(3.73) 177(1.87) 222(5.99) 275(6.51) 304(1.15) 333(2.28) 360(2.27) 392(2.25) 427(2.26) ","13( -0.29) 47( -2.82) 88( -7.86) 135( -8.36) 170( 1.58) 200( -6.12) 255( -6.41) 291( -2.89) 318( -3.28) 347( -1.44) 376( -3.06) 408( -2.47) 446( -2.71) ",-0.278221353511905,0.561880793104326,258.459795383333,498.693878938334,1202.76773352833,129.03222962,105,247.900112053333,152,603.774924966666,197
"Trial 24",2.31138646666667,88,-2.17804607,230,6.98173952,332,-7.43396457333333,352,"34(1.75) 88(2.31) 122(0.07) 154(0.84) 174(0.95) 212(1.59) 252(3.72) 294(3.84) 332(6.98) 371(5.36) 400(0.74) 428(0.58) ","14( -2.93) 67( -3.03) 110( -0.59) 136( -1.17) 164( 0.53) 192( -1.57) 233( -2.36) 273( -3.76) 313( -4.99) 352( -7.43) 388( -1.7) 414( -1.56) 438( -0.29) ",0.463904959642857,-0.0478346602544529,45.25041759,95.3009574666667,779.454123265,23.58555903,91,47.2692240966667,186,389.229863596666,291
"Trial 25",2.06428082666667,100,-4.36963597666667,188,3.40024765333333,163,-4.46928087666667,83,"19(0.29) 36(-0.04) 66(2.41) 100(2.06) 123(0.69) 163(3.4) 208(2.47) 257(-0.02) 292(1.71) 328(2.06) 359(0.19) 412(2.23) ","3( -2.79) 29( -0.19) 50( -1.75) 83( -4.47) 113( -0.14) 141( -4.21) 188( -4.37) 227( -1.64) 275( -1.68) 310( -3.41) 344( -1.76) 391( -1.62) 437( -4.19) ",-0.540632161488095,-0.364157627938931,82.6556527433333,241.011451453333,660.135451473334,39.9275444483333,86,120.188313046667,168,330.653509685,195
"Trial 26",5.35507695,116,-3.11280870666667,199,5.35507695,116,-4.47065552,376,"8(3.86) 41(1.11) 67(2.46) 116(5.36) 176(1.72) 216(4.07) 246(1.55) 272(3.37) 304(1.02) 325(2.78) 359(4.87) 393(4.19) 423(-0.19) ","25( -3.79) 52( -0.08) 96( -3.72) 135( -2.6) 199( -3.11) 232( -2.78) 258( -1.41) 288( -3.14) 312( 0.6) 342( -4.31) 376( -4.47) 410( -1.62) 434( -0.75) ",0.282720744464286,0.424488538142494,132.487679156667,244.729257368333,817.271897996667,66.5206105516667,110,122.171059715,163,407.254528991667,218
"Trial 27",1.73544291666667,108,-2.7705241,124,4.24669504,29,-5.07567103666667,449,"29(4.25) 62(1.03) 77(1.23) 108(1.74) 144(2.38) 201(1.9) 254(1.06) 275(1.61) 307(3.65) 356(1.77) 383(0.23) 409(1.19) 435(3.51) ","12( -4.28) 45( -3.2) 69( 0.87) 93( -1.78) 124( -2.77) 176( -2.23) 237( -1.91) 264( 0.4) 291( -3.52) 324( -2.26) 372( -1.03) 395( -1.49) 421( -0.85) ",-0.420215584166667,0.0853718123918575,72.203453245,164.939947528333,617.253668173334,36.469699425,109,83.1197250933333,153,308.213625503333,195
"Trial 28",4.86065244666667,109,-2.88160089666667,178,5.88728284666667,54,-4.90324847,33,"5(5.45) 54(5.89) 79(-1.15) 109(4.86) 137(1.22) 163(3.63) 192(1.68) 216(2.96) 244(1.71) 271(1.59) 297(1.77) 339(2.59) 367(1.36) 393(2.24) 425(3.23) ","33( -4.9) 74( -1.36) 91( -2.55) 125( -2.32) 149( -1.13) 178( -2.88) 203( -0.66) 230( -1.65) 257( -1.47) 283( 0) 320( -1.53) 355( -0.89) 379( -0.72) 408( -2.75) 446( -0.66) ",-0.0176925525595238,0.670708076463104,117.570530911667,216.123529471667,745.287093578334,61.0076891416667,107,109.192885405,161,372.296236316667,151
"Trial 29",4.07273284666667,89,-4.02287101666667,110,5.36910788,30,-4.02287101666667,110,"30(5.37) 62(-0.12) 89(4.07) 137(3.07) 187(1.57) 221(1.12) 243(0.64) 272(3.33) 304(1.33) 320(1.88) 351(2.84) 376(0.8) 400(2.71) 429(0.97) ","13( -3.4) 48( -3.69) 72( -1.43) 110( -4.02) 158( -2.76) 206( -1.96) 233( -0.22) 257( -2.3) 288( -3.42) 310( 1.08) 336( -3.93) 365( -1.3) 387( -1.36) 415( -3.6) 438( -0.15) ",-0.0203278758333334,-0.288418294580153,123.596729351667,207.35428602,739.950031406667,61.843256415,104,103.774188041667,143,370.324671903334,180
"Trial 30",3.97319142,97,-5.53578035,195,7.01321427333333,219,-6.63695892,241,"15(2.27) 39(1.78) 65(3.93) 97(3.97) 126(1.02) 170(4.86) 219(7.01) 261(4.06) 287(0.45) 319(3.59) 363(1.97) 397(0.2) 435(2.53) ","1( -4.94) 27( -1.19) 51( -2.09) 80( -5.8) 112( -1.22) 150( -3.07) 195( -5.54) 241( -6.64) 277( -0.92) 301( -2.82) 339( -2.78) 381( -1.1) 417( -0.78) ",-0.329643397202381,0.361177030737914,118.93160958,336.349617751667,914.246284021666,59.8729812366667,91,170.353351868333,191,458.012606476667,210
"Trial 31",2.10057691666667,120,-3.16576997666667,139,4.89779965,276,-3.92837023666667,432,"5(4.45) 68(2.08) 120(2.1) 158(4.25) 205(3.12) 244(2.41) 276(4.9) 314(0.64) 331(1.01) 378(2.72) 413(4.43) ","34( -2.34) 89( -1.9) 139( -3.17) 180( -3.1) 227( -2.09) 259( -3.23) 294( -2.86) 316( 0.64) 361( -1.7) 394( -2.88) 432( -3.93) ",0.269334709880952,0.337413740992366,63.49241817,246.405237895,797.428296276667,31.5732125833333,108,124.203552766667,164,399.120960458333,222
"Trial 32",2.71699587666667,127,-4.47205599333333,146,4.41799640666667,356,-4.47205599333333,146,"23(2.13) 68(3.13) 100(1.21) 127(2.72) 166(4.36) 190(-0.46) 222(4.21) 250(0.68) 296(2.49) 324(-0.77) 356(4.42) 400(4.27) ","5( -1.46) 48( -2.11) 85( -2.55) 112( -0.6) 146( -4.47) 184( -0.69) 205( -3.48) 238( -1.09) 265( -2.08) 315( -1.26) 336( -2.24) 380( -4.46) 419( -2.09) ",0.112692687678571,0.250470362239186,66.5244415966667,260.152879336667,759.443731316667,32.9879117833333,100,131.525302395,167,381.550477471667,223
"Trial 33",4.47922667,89,-2.96413437666667,188,4.47922667,89,-3.98831908,339,"20(1.23) 46(2.05) 89(4.48) 125(0.02) 165(1.69) 208(2.62) 233(0.2) 266(3.24) 318(3.43) 364(3.69) 404(2.78) 435(0.48) ","4( -1.42) 32( 0.2) 67( -3.81) 109( -2.23) 136( -0.58) 188( -2.96) 225( -0.15) 248( -2.04) 286( -2.23) 339( -3.99) 386( -3.61) 421( -0.89) ",0.598244065892857,-0.0179758806870229,96.066649185,148.887971625,684.404969616667,47.3365893566667,92,74.043579055,180,341.862414101667,250
"Trial 34",0.939442156666667,130,-3.38565548333333,189,5.77268155333333,356,-4.39344819333333,373,"15(1.63) 67(1.29) 136(1.34) 171(3.82) 211(2.04) 251(1.28) 281(0.47) 299(1.33) 326(0.17) 356(5.77) 388(1.21) 416(2.07) ","36( -1.33) 105( -0.41) 154( -2.38) 189( -3.39) 235( -1.48) 266( -0.93) 286( 0.38) 315( -0.95) 339( -2.62) 373( -4.39) 400( -0.83) ",0.00760414380952381,0.198617363689567,16.0295207866667,174.743295803333,538.915662718333,8.14668283,106,87.017075265,175,269.184384618333,252
"Trial 35",2.20744117,124,-2.57859953333333,191,5.21381195333333,409,-2.57859953333333,191,"3(4.86) 39(1.05) 68(1.49) 94(1.55) 124(2.21) 169(2.13) 211(3.47) 252(2.54) 278(0.56) 308(2.16) 354(4.7) 381(0.45) 409(5.21) 437(0.51) ","22( -1.57) 53( -0.43) 82( 0.15) 109( -1.03) 141( -1.48) 191( -2.58) 233( -2.06) 268( -0.1) 291( -0.63) 336( -2.33) 370( -1.75) 393( -2.12) 425( -2.25) 447( -1.18) ",0.672842838511905,0.529200083791349,52.86488658,187.411836548333,619.372632286667,26.6584521983333,110,93.822564915,176,310.100762338333,233
