Row,max Value for Window 75-130,Latency at max for Window 75-130,min Value for Window 100-230,Latency at min for Window 100-230,Global Max Value,Latency at Global Max,Global Min Value,Latency at Global Min,All Maxes (with Values),All Mins (with Values),Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230,Area Under Curve for Window 75-130,Area Under Curve for Window 100-230,Global Area Under the Curve,50% Area Under Curve for Window75-130,Latency at 50% Area Under Curve for Window75-130,50% Area Under Curve for Window100-230,Latency at 50% Area Under Curve for Window100-230,Global 50% Area Under Curve,Latency at 50% Area Under the Curve
"Trial 1",3.06555573333333,91,-14.72170162,212,13.2898410133333,196,-14.72170162,212,"10(5.24) 55(11.63) 91(3.07) 113(2.38) 145(-1.89) 163(6.51) 196(13.29) 228(5.87) 254(0.63) 278(-3.52) 306(3.54) 349(1.75) 375(0.66) 417(0.35) ","34( -8.53) 74( -11.59) 102( -0.22) 130( -5.59) 146( -1.9) 180( -14.36) 212( -14.72) 242( -4.11) 269( -4.37) 286( -4.34) 330( -8.51) 363( -3.34) 391( -7.95) 442( -7.5) ",-1.11617121053571,-1.33020715277354,151.676241008333,685.112175256667,1898.42677959166,75.8455600483333,91,346.034386396667,186,952.868882218333,197
"Trial 2",0.873092013333333,128,-13.4736569733333,173,12.8342145266667,189,-13.4736569733333,173,"5(1.71) 38(3.04) 58(1.94) 97(0.69) 128(0.87) 157(7.56) 189(12.83) 233(4.03) 269(6.97) 305(4.29) 336(-0.38) 360(-2.86) 388(1.93) 425(-2.28) 448(3.48) ","21( -6.08) 49( 0.69) 75( -4.75) 116( -1.21) 142( -6.42) 173( -13.47) 207( -11.65) 252( -9.07) 287( -10.53) 322( -5) 351( -3.37) 371( -3.9) 408( -6.65) 431( -2.57) ",-0.60803357672619,-1.17459870053435,60.2853399616666,615.68170228,1608.28780112667,29.6819173633333,83,307.884510253333,183,804.96191292,217
"Trial 3",9.70645554666667,97,-6.81519556,140,13.6604188266667,37,-15.2559409166667,20,"37(13.66) 66(8.73) 97(9.71) 125(2.96) 156(3.03) 193(2.48) 227(3.21) 258(2.83) 303(1.91) 331(-2.22) 363(1.41) 409(4.75) ","20( -15.26) 52( -8.36) 81( -14.79) 112( -4.77) 140( -6.82) 173( -3.98) 211( -6.58) 242( -5.97) 278( -4.89) 320( -3.96) 344( -4.57) 390( -8.53) 428( -7.1) ",-1.43410336238095,-1.03455899659033,312.859830568333,379.810844523333,1836.89872854,156.034083875,91,189.863599508333,159,916.600474860001,144
"Trial 4",10.14868307,100,-8.53037214333333,143,12.5273725166667,47,-14.1492541633333,31,"14(9.64) 47(12.53) 72(1.97) 100(10.15) 128(6.1) 173(5.56) 193(-3.56) 224(10.93) 253(3.72) 279(6.27) 303(-0.79) 332(10.21) 379(6.14) 412(2) 444(1.93) ","31( -14.15) 62( -5.02) 85( -9.85) 114( -6.31) 143( -8.53) 192( -3.57) 207( -7.82) 239( -10.59) 265( -6.34) 293( -5.91) 316( -8.61) 352( -8.46) 396( -7.6) 428( -6.32) ",-0.174359159404762,-0.0741127490585242,291.77020315,606.385626185,2169.88576076,146.960515075,100,303.686756223333,170,1082.22005451167,211
"Trial 5",8.942228,100,-10.3348636633333,142,9.41867844333333,161,-10.5052607833333,84,"6(-1.15) 43(5.05) 69(3.13) 100(8.94) 126(1.53) 161(9.42) 208(1.33) 237(2.16) 268(1.58) 296(6.45) 346(4.04) 372(-0.11) 411(3.46) 447(0.15) ","3( -1.15) 27( -4.28) 57( -3.2) 84( -10.51) 115( -3.76) 142( -10.33) 183( -7.62) 223( -1.73) 253( -7.25) 281( -5.81) 316( -6.96) 361( -2.85) 388( -8.39) 432( -7.42) ",-0.84253885047619,-0.881620561908397,250.279965865,509.431099778333,1614.22677852667,123.170233725,95,256.935349268333,158,808.345255191666,195
"Trial 6",4.89626908333333,89,-12.9580121033333,194,11.43590323,46,-12.9580121033333,194,"13(4.91) 46(11.44) 89(4.9) 125(3.56) 152(1.22) 177(7.11) 213(6.5) 261(10.75) 295(1.42) 329(1.96) 373(8.21) 426(10.81) ","29( -7.57) 64( -11.66) 110( -6.16) 139( -4.78) 163( -2.38) 194( -12.96) 243( -12.94) 278( -8.96) 309( -2.19) 351( -9.54) 405( -9.5) 443( -12.58) ",0.77618808422619,-0.577852696157761,184.79249798,523.562814946667,2207.745526535,91.6918975,104,259.549341381667,188,1109.11748435333,242
"Trial 7",8.96407095666667,111,-6.84117714333333,230,8.96407095666667,111,-8.73310899666667,93,"4(7.15) 32(2.67) 69(3.81) 111(8.96) 147(0.4) 178(1.75) 212(5.17) 256(2.4) 306(2.98) 356(3.08) 380(1.08) 411(5.38) 438(1.92) ","19( -3.49) 47( -4.76) 93( -8.73) 129( -5.87) 162( -1.24) 195( -4.84) 230( -6.84) 285( -5.37) 338( -5.29) 369( -1.79) 395( -8.62) 425( -5.08) ",-0.68938988125,-0.163982889923664,268.13151906,372.914334278333,1317.01956567667,131.460824378333,105,186.613046063333,154,660.673605475,215
"Trial 8",3.83193906,87,-9.78956015666667,151,12.3158232366667,301,-17.0967416766667,317,"13(1.8) 54(6.87) 87(3.83) 118(2.91) 130(2.47) 170(10.59) 207(5.14) 239(2.25) 270(6.81) 301(12.32) 333(11.68) 360(2.34) 394(6.09) 435(1.21) ","36( -3.77) 71( -7.41) 101( -3.58) 127( 2.41) 151( -9.79) 188( -9) 224( -4.21) 255( -5.58) 286( -10.11) 317( -17.1) 348( -4.99) 375( -9.29) 419( -6.58) 447( -2.88) ",0.512839170416667,-0.470521685394402,131.9585548,550.858248885,1887.332045395,65.3247708883333,101,280.13747429,170,946.068684838333,270
"Trial 9",10.16697828,121,-15.8520561866667,140,11.27241405,158,-15.8520561866667,140,"13(3.68) 43(3.17) 71(2.56) 121(10.17) 158(11.27) 204(3.18) 252(3.55) 286(1.46) 302(0.84) 335(5.69) 357(-2.63) 381(2.75) 410(8.1) 437(3.44) ","28( -4.29) 57( -1.55) 89( -5.12) 140( -15.85) 176( -5.32) 222( -4.99) 270( -5.94) 296( 0.45) 318( -6.38) 352( -2.83) 366( -3.51) 395( -8.07) 425( -5.97) ",0.903927609702381,-0.370828542544529,230.472830415,653.113298705,1553.36198817833,117.755815756667,115,327.584182588333,146,777.094636273334,184
"Trial 10",5.92864243333333,99,-9.96667274,168,12.2364958166667,336,-10.4493293766667,354,"8(9.57) 48(3.59) 68(3.08) 99(5.93) 124(3.45) 152(10.65) 183(6.46) 206(0.82) 228(1.81) 256(8.9) 287(7.15) 336(12.24) 372(1.55) 391(6.54) 428(5.65) ","29( -6.75) 58( 1.6) 84( -5.92) 113( -2.2) 138( -7.07) 168( -9.97) 197( -1.07) 217( -1.77) 241( -4.8) 271( -9.22) 318( -6.03) 354( -10.45) 376( 1.48) 410( -9.65) 441( -0.08) ",0.175567172857143,0.344916651094148,162.527613421667,439.89862198,1815.77500479,83.0452183483333,98,222.81591258,156,908.256631066667,254
