Row,max Value for Window 75-130,Latency at max for Window 75-130,min Value for Window 100-230,Latency at min for Window 100-230,Global Max Value,Latency at Global Max,Global Min Value,Latency at Global Min,All Maxes (with Values),All Mins (with Values),Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230,Area Under Curve for Window 75-130,Area Under Curve for Window 100-230,Global Area Under the Curve,50% Area Under Curve for Window75-130,Latency at 50% Area Under Curve for Window75-130,50% Area Under Curve for Window100-230,Latency at 50% Area Under Curve for Window100-230,Global 50% Area Under Curve,Latency at 50% Area Under the Curve
"Trial 1",4.54319477,129,-1.77302978,144,8.79545871666667,442,-3.01142756,62,"19(2.65) 46(3.45) 78(3.61) 99(1.72) 129(4.54) 160(4.32) 185(3.22) 216(5.61) 242(3.64) 272(5.77) 306(5.75) 346(7.75) 386(4.33) 405(6.29) 442(8.8) ","1( -2.59) 32( -0.51) 62( -3.01) 91( 1.17) 113( -1.15) 144( -1.77) 173( 1.07) 199( -1.66) 230( 0.88) 256( -0.39) 288( -0.1) 326( -0.79) 365( -0.28) 389( 4.31) 423( -1.6) ",1.64673512125,1.70375564061069,104.170196375,286.623377346667,1196.29998729833,52.4658375366667,99,143.883008036667,170,598.295149938333,279
"Trial 2",5.44380768,127,-5.27388238666667,189,7.78205045,171,-5.27388238666667,189,"35(3.21) 65(4) 94(4.05) 127(5.44) 171(7.78) 207(6.34) 256(3.4) 276(2.15) 312(4.66) 356(2.26) 384(6.08) 420(4.7) ","20( -1.3) 50( -2.71) 80( -2.25) 109( -3.03) 150( -2.93) 189( -5.27) 224( -0.29) 271( 2.11) 293( -0.35) 342( 1.22) 366( 1.53) 402( -0.56) 436( 1.96) ",0.969522362678571,1.19251172040712,139.795184731667,393.228842553333,1105.19649899,68.8364500233333,108,198.755732786667,171,551.993908968333,213
"Trial 3",8.87197534333333,89,-2.61458524,111,9.16020695333333,435,-11.2336476633333,69,"50(8.75) 89(8.87) 125(0.01) 155(3.85) 201(3.35) 237(2.78) 272(3.38) 305(4.22) 327(2.12) 355(4.23) 399(7.32) 435(9.16) ","18( -3.91) 69( -11.23) 111( -2.61) 136( -1.07) 180( -0.96) 218( -1.23) 256( 0.35) 288( -1.98) 318( 1.47) 340( -0.01) 373( -0.61) 417( -5.16) ",1.35161007577381,0.433287020152672,176.173053023333,181.741508671667,1253.361668455,87.746555355,91,89.8785208316667,159,626.129762546666,202
"Trial 4",1.85251909666667,104,-2.48556852333333,190,14.60186418,0,-10.5754391333333,18,"51(4.94) 104(1.85) 157(2.94) 216(4.23) 248(1.6) 280(4.4) 316(0.99) 345(4.16) 377(7.93) 421(5.44) ","18( -10.58) 71( -2.42) 137( -2.12) 190( -2.49) 235( -1.01) 262( -1.8) 300( 0.57) 329( 0.18) 360( -2.58) 395( -3.92) 440( -0.68) ",0.334594786547619,0.884882641552163,59.4127375716667,231.008225406667,1058.213751905,29.6848811116667,103,116.069293178333,173,530.662947811667,211
"Trial 5",4.74474724333333,94,-3.33064397333333,187,6.75444635,171,-3.33064397333333,187,"39(1.6) 63(2.73) 94(4.74) 122(4.18) 147(0.14) 171(6.75) 201(3.39) 230(3.88) 244(2.96) 278(5.67) 309(4.9) 354(4.05) 385(5.83) 415(6.08) 443(3.91) ","18( -0.56) 51( 0.44) 79( -2.9) 108( -1.64) 137( -1.24) 154( -0.35) 187( -3.33) 214( -0.85) 241( 2.91) 262( -2.47) 293( -1.18) 325( 0.25) 370( -0.34) 400( -2.15) 430( 0.15) ",1.19223237779762,1.17214802753181,131.86621199,259.454887188333,956.595060306667,65.2357332833333,98,130.34414213,172,478.401718501667,255
"Trial 6",4.14565070333333,87,-2.60977125333333,108,5.99375279666667,28,-3.91111596333333,12,"28(5.99) 58(1.31) 87(4.15) 128(2.91) 161(2) 200(3.19) 228(0.39) 256(4.29) 293(2.95) 319(2.25) 352(2.12) 370(2.21) 396(2.45) 427(3.56) ","12( -3.91) 44( -3.45) 70( -1.72) 108( -2.61) 145( -0.57) 180( -1.01) 218( -0.29) 238( -0.13) 274( -2.06) 307( 1.16) 335( -0.28) 360( 1.9) 383( 1.05) 411( -0.62) 439( 1.86) ",0.892444765952381,0.565923861933842,114.705275788333,167.282806455,763.662873283333,57.0972829966667,99,83.733643665,158,382.392759456667,208
"Trial 7",3.92172813333333,110,-2.29418375333333,127,4.39245279333333,341,-2.29418375333333,127,"12(1.82) 41(3.04) 76(1.69) 110(3.92) 158(2.73) 205(2.71) 239(1.73) 267(4.36) 302(3.06) 341(4.39) 389(3.79) ","25( -1.52) 58( -1.55) 93( -1.55) 127( -2.29) 177( -2.02) 224( -1.09) 251( -0.58) 284( -1.74) 321( -0.94) 364( -1.48) 413( 0.29) ",0.540166583392857,0.857762454096692,92.3699230416667,221.064557,716.139559643333,47.251740905,109,110.245479858333,158,358.067893578333,245
"Trial 8",2.26469755333333,101,-2.95570699333333,160,5.04175456333333,398,-2.95570699333333,160,"17(1.71) 44(1.68) 72(1.48) 101(2.26) 143(3.87) 176(2.84) 205(1.5) 246(4.07) 278(3.89) 307(2.53) 341(3.34) 361(0.94) 398(5.04) 442(2.97) ","2( -1.71) 31( -1) 58( -1.32) 85( -1.06) 124( -1.63) 160( -2.96) 190( -0.39) 229( -1.22) 262( -2.77) 293( -1.04) 323( -1.43) 359( 0.94) 379( -1.78) 421( -1.48) ",0.0732006074404762,0.50334389129771,60.46052306,182.733050696667,675.631643243333,29.4544661266667,103,90.9357055566666,156,337.653204321667,259
"Trial 9",6.27643442,108,-2.68373811,150,6.27643442,108,-7.36089802,92,"4(1.33) 22(1.19) 54(1.8) 76(5.21) 108(6.28) 135(3.8) 166(3.44) 209(5.12) 238(-0.41) 261(4.62) 293(4.04) 324(1.71) 348(2.52) 380(3.74) 421(3.89) ","14( 0.8) 38( -2.8) 62( 0.79) 92( -7.36) 122( -2.58) 150( -2.68) 189( -2.38) 226( -1.66) 243( -0.54) 277( -3.03) 309( -1.11) 335( 0.71) 364( -1.34) 398( -1.25) 439( -2.74) ",0.0451553453571429,0.998483832697201,193.334852305,301.209812046667,903.448720361666,96.0189287733333,96,151.167860698333,162,450.357004456667,203
"Trial 10",1.42482851,109,-4.83049897333333,170,14.4634602833333,269,-9.68931555666667,252,"20(4.26) 53(2.13) 86(1.1) 109(1.42) 150(5.38) 185(1.98) 212(5.56) 237(2.96) 269(14.46) 318(5.41) 343(0.85) 375(6.1) 405(2.35) 441(4.47) ","4( -4.6) 37( -3.41) 70( -1.65) 97( 0.22) 128( -3.65) 170( -4.83) 197( -2.31) 226( -2.64) 252( -9.69) 287( -8.75) 334( -0.58) 358( -4.84) 391( -1.79) 422( -3.09) ",-0.164245151845238,0.218657978091603,64.44950066,310.372745936667,1258.85892679167,32.29884974,119,153.46024969,166,625.360232806667,263
