Row,max Value for Window 75-130,Latency at max for Window 75-130,min Value for Window 100-230,Latency at min for Window 100-230,Global Max Value,Latency at Global Max,Global Min Value,Latency at Global Min,All Maxes (with Values),All Mins (with Values),Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230,Area Under Curve for Window 75-130,Area Under Curve for Window 100-230,Global Area Under the Curve,50% Area Under Curve for Window75-130,Latency at 50% Area Under Curve for Window75-130,50% Area Under Curve for Window100-230,Latency at 50% Area Under Curve for Window100-230,Global 50% Area Under Curve,Latency at 50% Area Under the Curve
"Trial 1",15.6644446066667,79,-19.40486272,100,15.6644446066667,79,-28.1822484333333,387,"22(2.21) 44(5.73) 79(15.66) 116(7.7) 147(-4.09) 174(-0.65) 201(-2.22) 234(-0.77) 271(7.05) 309(1.11) 331(-9.47) 368(7.46) 406(1.89) 446(-5.53) ","4( -14.65) 32( -1.22) 62( -19.8) 97( -20.75) 134( -9.9) 159( -9.47) 189( -8.19) 217( -12.5) 252( -16.65) 290( -23.44) 327( -9.68) 349( -18.59) 387( -28.18) 428( -18.95) ",-1.77888790559524,-5.35478572720102,524.089128925,835.575774353333,3923.25798380667,264.755936138333,97,414.716262301667,160,1963.21702011167,262
"Trial 2",14.96854337,106,-23.4411309566667,126,14.96854337,106,-23.4411309566667,126,"3(3.66) 41(9.7) 74(-5.86) 106(14.97) 145(2.34) 164(0.68) 219(2.73) 261(3.5) 299(-5.95) 333(4.24) 381(-6.27) 415(-8.26) 445(-7.89) ","21( -12.21) 62( -8.87) 86( -9.61) 126( -23.44) 155( -0.89) 183( -11.92) 238( -18.87) 284( -13.98) 314( -14.88) 355( -18.64) 404( -9.51) 431( -13.81) ",-4.37669408744048,-3.85920942748092,589.4120593,895.752868618333,3582.11586988334,299.36495228,110,440.146825593333,131,1794.53705689333,246
"Trial 3",10.91992442,93,-18.2649860366667,201,14.0607137666667,220,-27.4804674766667,436,"30(2.07) 53(2.83) 93(10.92) 131(-3.07) 151(1.99) 183(1.59) 220(14.06) 255(-4.24) 276(2.11) 312(1.27) 353(-1.82) 415(6.84) ","13( -8.77) 41( -0.67) 72( -12.45) 113( -12.2) 135( -3.19) 168( -7.9) 201( -18.26) 238( -18.68) 262( -5.67) 294( -15.28) 332( -15) 390( -20.62) 436( -27.48) ",-2.37299708029762,-3.44703992694657,395.058706225,805.02640857,3231.41396767,197.976285123333,106,399.669108391666,192,1617.63309607667,262
"Trial 4",0.982005476666667,113,-17.78417015,190,9.44201755333333,24,-17.78417015,190,"24(9.44) 58(5.51) 86(-0.34) 113(0.98) 142(0.23) 172(5.5) 209(4.45) 242(-2.83) 277(2) 319(-6.66) 340(-3.64) 392(-2.24) 420(-5.74) ","5( -9.82) 42( -14.5) 73( -6.87) 99( -7.26) 128( -9.39) 156( -9.97) 190( -17.78) 228( -10.75) 259( -13.01) 299( -13.17) 323( -6.75) 374( -13.21) 408( -11.69) 435( -16.62) ",-3.86351627083333,-4.57042995478372,216.631430246667,758.877427041667,3070.60773868834,108.81587235,103,383.08791663,184,1530.82970541,258
"Trial 5",6.66803169,75,-19.1148681633333,227,13.93467903,256,-27.4574216233333,276,"27(3.9) 69(13.46) 118(4.66) 152(8.23) 182(-0.76) 208(5.27) 256(13.93) 303(1.07) 336(-3.12) 386(4.8) 427(-2.54) ","8( -12.11) 50( -14.37) 88( -17.69) 136( -16.41) 168( -17.36) 194( -7.89) 227( -19.11) 276( -27.46) 323( -10.63) 353( -20.11) 407( -25.17) ",-4.7715217147619,-4.88131483656489,377.537453128333,928.728826056666,3863.118547465,192.875100365,92,455.817589611667,168,1935.43361991167,242
"Trial 6",15.3322006866667,127,-16.5508708966667,147,23.9631379433333,69,-20.4607474033333,51,"33(6.62) 69(23.96) 100(-6.54) 127(15.33) 167(4.46) 208(-0.17) 269(7.37) 305(5.29) 328(-2.7) 360(7.45) 411(1.44) ","16( -2.6) 51( -20.46) 87( -15.76) 108( -8.99) 147( -16.55) 188( -7.65) 251( -8.36) 287( -19.57) 319( -5.25) 343( -16.63) 379( -12.47) 431( -14.49) ",-2.96556055660714,-2.49079027931298,508.196678186667,785.099283655,3233.40719461834,252.31242251,100,400.196937713333,146,1617.01119370833,218
"Trial 7",14.96780936,90,-13.55063216,182,16.3272393566667,51,-22.8030071233333,71,"17(-1.75) 51(16.33) 90(14.97) 128(3.16) 165(3.02) 200(3.03) 216(0.35) 250(-4.8) 274(7.12) 318(8.71) 355(4.33) 381(-3.06) 428(4.56) ","9( -3.83) 32( -10.46) 71( -22.8) 108( -13.37) 150( -6.99) 182( -13.55) 212( 0.24) 235( -11.02) 257( -5.72) 294( -17.96) 338( -19.81) 370( -7.99) 397( -10.59) 446( -22.24) ",-1.33341852422619,-3.24822575073791,432.565179255,591.689827233333,3136.06096341334,215.151289821667,95,294.20068115,155,1566.86428468667,241
"Trial 8",11.93499311,96,-15.63930575,121,16.02295494,417,-27.1737168666667,437,"12(11.11) 52(5.4) 96(11.93) 140(13.79) 189(6.81) 223(1.16) 242(5.18) 276(10.88) 315(1.42) 375(9.09) 417(16.02) ","31( -5.06) 74( -9.97) 121( -15.64) 160( -8.35) 207( -9.82) 230( 0.31) 259( -15.01) 294( -11.42) 354( -10.46) 396( -17.83) 437( -27.17) ",-1.80162498839286,-1.4096439407888,462.528310145,802.730660446666,3030.98745709333,232.404755078333,105,403.371720501667,144,1520.34258615333,260
"Trial 9",5.46661170333333,110,-7.87218602666667,131,15.9349107766667,43,-17.91506513,26,"8(8.02) 43(15.93) 74(5.02) 110(5.47) 148(3.65) 175(-1.29) 208(1.85) 265(0.14) 288(-1.32) 324(8.19) 355(-4.84) 376(7.43) 428(5.6) ","26( -17.92) 60( -10.13) 90( -8.23) 131( -7.87) 164( -3.81) 189( -4.6) 234( -5.64) 280( -1.9) 306( -11.06) 341( -9.49) 359( -4.98) 395( -16.32) ",-1.21099208946429,-1.14752141320611,235.647134065,385.670562263333,2205.93047592333,118.815975156667,99,192.481576098333,149,1105.05554950667,228
"Trial 10",28.2212537133333,84,-28.2097390466667,107,28.2212537133333,84,-28.2097390466667,107,"7(9.28) 43(19.38) 84(28.22) 128(24.05) 174(7.01) 197(8.09) 249(14.22) 275(2.11) 300(8.38) 328(7.65) 359(10.81) 398(21.46) 434(14.87) ","26( -8.8) 61( -23.15) 107( -28.21) 155( -10.92) 185( 3.3) 232( -7.22) 265( -2.33) 286( -2.34) 314( -3.5) 342( -4.52) 380( -10.52) 416( -18.29) ",5.21633377238095,0.374893364885496,1026.32820293333,1152.07769197167,3845.35905705334,518.992569143333,103,585.269137571667,131,1919.02727695667,138
"Trial 11",7.89156993333333,75,-12.76331965,230,19.7618115733333,439,-17.6270259233333,401,"19(7.47) 70(11.27) 105(2.94) 130(4.72) 160(2.66) 180(4.1) 213(18.4) 246(7) 279(12.61) 328(17.75) 363(5.56) 384(14.54) 417(3.89) 439(19.76) ","50( -7.58) 89( -7.68) 117( 0.01) 145( -3.91) 169( 1.16) 196( -11.63) 230( -12.76) 261( -7.15) 302( -10.46) 346( -16.72) 371( 2.87) 401( -17.63) 424( 1.39) ",-0.041721285892857,1.0709503151145,171.9478061,602.523544148333,2844.67461812834,87.9020298666667,92,298.075661388333,199,1419.98684874167,282
"Trial 12",9.60068003333333,102,-12.3084840766667,123,14.89673106,354,-12.7008962666667,338,"6(2.71) 42(6.13) 102(9.6) 140(10.56) 171(3.95) 202(10.84) 246(8.27) 276(2.77) 308(5.47) 354(14.9) 386(6.68) 429(3.51) ","23( -9.96) 77( -11.53) 123( -12.31) 156( -8.77) 185( -7.61) 222( -10.71) 263( -4.94) 290( -7.7) 338( -12.7) 371( -12.62) 404( -3.11) 443( -4.09) ",-2.12251309166667,-0.858088894223919,402.975921918333,823.024621171666,2353.64634627167,199.877653086667,103,413.200647406667,159,1174.96163942667,207
"Trial 13",11.2993237166667,117,-7.14325364333333,136,17.46591727,322,-17.0063355766667,24,"8(9.8) 41(17.08) 63(-2) 89(3.04) 117(11.3) 164(4.48) 210(5.16) 251(7.73) 284(9.78) 322(17.47) 359(2.19) 379(3.79) 407(5.85) ","24( -17.01) 59( -2.13) 74( -4.5) 101( -3.43) 136( -7.14) 185( -1.25) 231( -6.61) 268( -3.41) 303( -14.73) 342( -8.61) 367( 1.35) 393( -1.45) 424( -5.34) ",2.05867896160714,1.05977794043257,220.49453682,472.801612478333,2147.99064243667,108.945042743333,114,234.36320461,141,1071.37200287167,230
"Trial 14",12.16524315,84,-12.7610092166667,108,15.3518867533333,227,-12.7610092166667,108,"2(-2.27) 39(3.13) 84(12.17) 128(7.49) 149(-0.31) 185(6.54) 227(15.35) 260(5.91) 296(13.88) 341(3.64) 367(9.25) 400(5.34) 427(7.03) ","4( -2.27) 62( -9.82) 108( -12.76) 145( -0.45) 165( -4.21) 208( -12.21) 245( -9.89) 276( -11.5) 321( -10.48) 352( 0) 384( -11.52) 413( -4.26) 441( -3.76) ",1.13551001779762,-0.527613763587786,422.63593598,722.015270738333,2339.18971343167,207.382854585,102,361.888054791667,183,1171.40631778333,231
"Trial 15",12.4447482433333,105,-9.19965235333333,122,12.4447482433333,105,-10.16752402,425,"13(3.05) 52(7.47) 105(12.44) 138(5.68) 165(4.67) 192(3.4) 222(7.44) 267(8.99) 298(5.41) 321(0.88) 352(12.31) 401(7.6) 444(10.46) ","31( -6.44) 85( -7.7) 122( -9.2) 151( -2.69) 179( -2.92) 206( -4.22) 248( -6.4) 283( -5.3) 312( -1.41) 334( -5.85) 371( -9.2) 425( -10.17) ",-0.822203277797619,1.3732082156743,358.066239843333,528.619036941667,1978.07224040667,176.799038265,104,263.30689226,140,986.007119115,249
"Trial 16",10.61521308,127,-14.4456838,142,15.97822285,343,-16.39455414,320,"15(11.24) 53(9.45) 101(6.59) 127(10.62) 158(8.36) 184(10.87) 220(6.42) 235(4.59) 274(5.86) 301(10.98) 343(15.98) 390(7.01) 432(8.92) ","35( -12.59) 86( -7.72) 113( -1.8) 142( -14.45) 170( -1.81) 201( -12.2) 231( 4.46) 256( -8.44) 286( -0.16) 320( -16.39) 366( -12.05) 415( -8.64) 447( -6.4) ",1.13717720732143,1.00834081679389,254.805554743333,769.028301135,2733.50526451167,129.61927999,103,385.825145101667,162,1368.86191541,234
"Trial 17",12.0522658033333,80,-14.4820076633333,195,12.0522658033333,80,-14.4820076633333,195,"12(6.46) 42(3.22) 80(12.05) 128(10.99) 175(9.34) 215(11.71) 274(2.82) 332(7.65) 368(-0.62) 391(5.43) 427(3.9) ","27( -1.83) 61( -7.73) 103( -10.25) 147( -8.44) 195( -14.48) 243( -3.94) 312( -4.56) 351( -4.68) 370( -0.63) 411( -5.56) 441( -4.57) ",1.4762666572619,0.244104452722646,411.192908495,886.52961536,1929.20708702667,208.336018198333,102,444.89618187,172,966.238701541667,182
"Trial 18",11.6675008133333,115,-11.2359358433333,190,27.2845045733333,310,-26.3777287766667,330,"17(5.17) 44(-0.3) 67(2.58) 115(11.67) 169(15.92) 226(11.22) 266(18.4) 310(27.28) 351(14.87) 395(5.5) 420(3.53) 446(-0.39) ","32( -2.04) 51( -0.77) 92( -6.41) 142( -11.12) 190( -11.24) 246( -16.15) 288( -22.31) 330( -26.38) 377( -9.83) 408( -2.27) 435( -4.49) ",0.872656244523809,0.770287716386768,291.273438576666,970.64889139,3266.415156535,145.727455598333,110,484.823290188333,166,1633.96341957833,268
"Trial 19",11.5348574333333,94,-7.28308995666667,112,31.2455863933333,298,-22.01430893,319,"25(10.17) 61(8.01) 94(11.53) 127(4.08) 158(10.04) 203(3.96) 242(5.66) 257(5.05) 298(31.25) 346(20.67) 384(11.19) 410(2.24) 437(5.48) ","44( -8.21) 77( -7.02) 112( -7.28) 140( -3.92) 177( -6.23) 223( -2.79) 251( 4.71) 278( -20.06) 319( -22.01) 366( -17.25) 399( -0.63) 423( -3.03) ",0.803214640178571,0.351635480661578,293.876464333333,470.015232961667,2956.680953455,148.59012817,97,239.727875353333,159,1480.05656023333,292
"Trial 20",19.69557508,113,-8.83168951666667,100,19.69557508,113,-19.29294713,93,"22(8.36) 69(9.43) 113(19.7) 145(-0.78) 167(6.08) 200(8.96) 251(4.15) 312(9.45) 349(15.1) 390(9.84) 427(17.78) ","1( -9.42) 41( -9.14) 93( -19.29) 131( -8.67) 152( -2.18) 183( -8.04) 220( -4.79) 285( -3.18) 330( -14.84) 368( -10.53) 409( -14.11) 447( -15.18) ",-0.420313847976191,0.960602668167939,576.45304891,716.540075041666,2864.75192456833,288.681269115,103,357.005025858333,138,1434.01112097833,226
"Trial 21",15.7030735,88,-17.55486838,108,21.7817084,238,-27.2806536366667,262,"24(-1.06) 52(4.27) 88(15.7) 128(14.47) 190(7.4) 238(21.78) 283(21.78) 313(-0.88) 340(6.97) 377(12.74) 412(7.18) 445(11.54) ","17( -1.43) 35( -2.41) 69( -8.31) 108( -17.55) 149( -7.48) 212( -14.09) 262( -27.28) 302( -5.35) 324( -4.68) 357( -10.13) 396( -8.76) 428( -11.38) ",1.67188772065476,-1.29733592618321,551.88570832,906.508906733334,3235.20925440334,268.521266833333,105,453.729422688333,148,1616.77783087167,244
"Trial 22",6.97133207666667,122,-13.0758673366667,161,14.9553648633333,179,-15.558918,395,"17(9.07) 50(1.17) 75(6.2) 122(6.97) 145(2.64) 179(14.96) 216(4.4) 254(6.95) 292(3.39) 322(11.24) 371(8.97) 415(14.7) ","35( -8.03) 60( -0.81) 100( -7.18) 136( 0.42) 161( -13.08) 198( -9.39) 234( -4.9) 274( -6.95) 306( -3.73) 341( -14.69) 395( -15.56) 436( -11.34) ",0.152245556488095,-0.0101335635623409,251.943610051667,685.03425307,2458.229622805,128.13965535,103,339.878064436667,172,1229.21115520333,270
"Trial 23",4.10851494333333,111,-7.95542605666667,206,21.8705908433333,4,-20.89517021,26,"4(21.87) 49(15.8) 86(1.77) 111(4.11) 151(5.33) 188(7.69) 232(9.9) 269(7.55) 296(3.96) 340(1.26) 373(7.99) 407(0.74) 428(8.7) ","26( -20.9) 69( -7.09) 96( -0.09) 129( -4.72) 171( -5.06) 206( -7.96) 252( -11.35) 283( -1.76) 312( -3.08) 355( -2.71) 391( -7) 413( 0.23) 445( -11.91) ",0.328936844464286,0.551081674554707,110.55053894,503.488776488333,2216.02576990667,55.7084923083333,111,253.05270723,183,1107.28854139333,176
"Trial 24",13.8968381866667,95,-12.6439288433333,230,17.4054667166667,256,-21.8252976733333,78,"9(-0.23) 35(-0.36) 61(14.25) 95(13.9) 126(3.67) 169(1.62) 209(4.95) 256(17.41) 296(8.5) 348(2.23) 370(4.55) 410(14.56) ","23( -4.69) 45( -3.56) 78( -21.83) 111( -7.37) 146( -4.14) 186( -2.92) 233( -13.3) 276( -18.67) 330( -5.99) 357( 1) 389( -14.86) 439( -15.31) ",-1.78287844470238,-1.02354268933842,437.493906511667,398.549163751667,2641.91842903,221.611253978333,92,199.003760005,165,1326.75150689167,257
"Trial 25",9.99460315666667,94,-19.52451388,227,24.51335907,204,-19.52451388,227,"5(3.56) 41(6.88) 94(9.99) 145(13.18) 204(24.51) 251(12.85) 290(1.99) 325(3.79) 358(6.25) 378(0.81) 408(2.91) 437(12.11) ","22( -5.58) 71( -7.81) 123( -12.11) 181( -16.71) 227( -19.52) 271( -5.04) 308( -1.61) 341( -6.11) 374( 0.63) 394( -4.99) 421( -4.66) ",-0.708968879107143,-0.292779656743003,371.846494375,1301.98133187,2620.92298749,184.324552098333,104,649.004042316667,183,1311.05488443167,201
