Row,Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230
"Trial 1",0.4971568675,0.75279240648855
"Trial 2",-0.183770789107143,0.455428935725191
"Trial 3",0.681676798928571,0.405002219770992
"Trial 4",0.134173175,0.58328034610687
"Trial 5",0.166366020714286,0.497498655343511
"Trial 6",-0.255015381428571,0.131123024656489
"Trial 7",-0.778651220714286,0.064866592519084
"Trial 8",-0.123756295178571,-0.284143056335878
"Trial 9",-0.262447494642857,-0.110269569694657
"Trial 10",0.323226194285714,0.0915028902290076
"Trial 11",0.154809933571429,0.14770233870229
"Trial 12",0.1909344325,-0.0146919016030534
"Trial 13",0.494622707321429,0.273093802900763
"Trial 14",0.195655158214286,0.24164728740458
"Trial 15",0.579075628035714,0.545396064274809
"Trial 16",0.0553314121428571,0.014888066259542
"Trial 17",0.528841913035714,0.415381296641221
"Trial 18",0.0060600010714286,-0.139113674732824
"Trial 19",0.107067446785714,0.153322058015267
"Trial 20",-0.251784798392857,-0.0266609913740458
"Trial 21",0.03472285,0.331512082824428
"Trial 22",-0.327466228035714,0.194403961908397
"Trial 23",-0.306911249821429,0.399446138244275
"Trial 24",0.385379670535714,0.0048326124427481
"Trial 25",-0.461932865,-0.271286902671756
"Trial 26",0.143729899821429,0.333185173053435
"Trial 27",-0.319090354464286,0.0867333546564885
"Trial 28",-0.129157126964286,0.571084797022901
"Trial 29",-0.139884850357143,-0.232955948396946
"Trial 30",-0.2749436675,0.282548549847328
"Trial 31",0.231803831785714,0.258231058778626
"Trial 32",-0.0555098551785714,0.236994268167939
"Trial 33",0.5026801475,-0.0728355163358778
"Trial 34",0.113406260535714,0.135600661832061
"Trial 35",0.590803719821428,0.429165707175573
"Trial 36",-0.0951256983928572,0.262729841526718
"Trial 37",-0.141022069642857,-0.139149217633588
"Trial 38",0.561448863928571,-0.390058218091603
"Trial 39",-0.220376218392857,0.31110289648855
"Trial 40",-0.561991833214286,-0.537503097862595
"Trial 41",0.406787160535714,0.0278962702290077
"Trial 42",0.358312065535714,0.121093837557252
"Trial 43",0.109130253035714,-0.142798895648855
"Trial 44",0.501058074821429,0.265687673816794
"Trial 45",0.579270542857143,0.0617569045038168
"Trial 46",-0.0354986725,0.0442143445801527
"Trial 47",-0.144939305892857,-0.164339032900763
"Trial 48",-0.314509117678571,-0.135382801068702
"Trial 49",0.338442536785714,-0.0920531171755725
"Trial 50",0.0837320860714286,-0.193077026564886
"Trial 51",0.116039788392857,0.00505175893129772
"Trial 52",0.0238715241071429,-0.0854621861068702
"Trial 53",-0.0461935148214286,-0.316185846183206
"Trial 54",-0.0387442191071428,0.0157505489312977
"Trial 55",0.281904939642857,0.346485412290076
"Trial 56",0.21696499,-0.532486743969466
"Trial 57",-1.03441229071429,-0.113209200229008
"Trial 58",0.0620382382142858,0.372128433435115
"Trial 59",-0.241593992321429,0.231127592442748
"Trial 60",-0.428024521428571,-0.251935417480916
"Trial 61",0.317722946607143,0.271653685954198
"Trial 62",-0.464930943214286,-0.106393687862595
"Trial 63",-0.926067469464286,-0.0669606900763359
"Trial 64",0.259300826071429,-0.400848031984733
"Trial 65",-0.438241220357143,-0.100728414351145
"Trial 66",0.613819150714286,-0.30575900259542
"Trial 67",0.0656870923214285,0.267942328167939
"Trial 68",-0.457841697321429,0.0548849499236641
"Trial 69",-0.406028600714286,0.287052415496183
"Trial 70",-0.308434352678571,0.409120016183206
"Trial 71",0.146887193571429,-0.310175333282443
"Trial 72",0.320703710178571,-0.0356911476335878
"Trial 73",0.463965752142857,0.448982593664122
"Trial 74",-0.06750337,-0.0767962080916031
"Trial 75",0.6440335075,0.344028591068702
"Trial 76",0.125980694821429,-0.0170644783206107
"Trial 77",-0.650236357142857,-0.68930368480916
"Trial 78",0.48885378875,-0.134223344198473
"Trial 79",0.700484615535714,-0.171456829847328
"Trial 80",-0.355414838571429,-0.817284624045801
"Trial 81",-0.20753105375,0.0038651023664122
"Trial 82",-0.0873502242857143,-0.188678392671756
"Trial 83",0.0244852876785714,-0.118773023435115
"Trial 84",0.36059723875,-0.0485835661068702
"Trial 85",0.0518975348214286,0.0930371808396947
"Trial 86",0.32618319875,-0.108801875267176
"Trial 87",0.487714170714286,0.296644516335878
"Trial 88",1.13146541142857,0.593925555267175
"Trial 89",0.373607804285714,0.0928422619847328
"Trial 90",-0.587472118035714,-0.632833755877863
"Trial 91",-0.281718965178571,-0.115252580305344
"Trial 92",-0.183999201428571,-0.0316795872519084
"Trial 93",0.19441547125,-0.118910056793893
"Trial 94",-0.400294973928571,-0.237533388854962
"Trial 95",-0.211045440535714,-0.185266669083969
"Trial 96",-0.200882876607143,-0.100694599770992
"Trial 97",0.42259099625,0.486630089541985
"Trial 98",-0.619846982321429,0.765677252824428
"Trial 99",0.437337589107143,-0.540842029007634
"Trial 100",-0.376958835178571,0.209459749847328
"Average of Trials",0.0330970596267857,0.0482130279160305
