Row,Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230
"Trial 1",1.91661223660714,2.00958363274809
"Trial 2",1.09673838517857,1.40040366175573
"Trial 3",1.51829364642857,0.658086122900763
"Trial 4",0.432415097678571,1.01515398580153
"Trial 5",1.23651865357143,1.3110294919084
"Trial 6",0.9735245575,0.728247443816794
"Trial 7",0.620177554821429,0.956182348244275
"Trial 8",0.210145770178571,0.563274405725191
"Trial 9",0.172368142142857,1.07404993114504
"Trial 10",-0.0699445126785714,0.314105604961832
"Trial 11",-0.176052395892857,0.0728655632824428
"Trial 12",-0.641004620714286,0.193510027938931
"Trial 13",0.534751298392857,0.196023385114504
"Trial 14",0.471983059821429,-0.11929480480916
"Trial 15",0.0113208660714286,-0.23389165221374
"Trial 16",-0.101516396964286,-0.331256795877863
"Trial 17",0.317940986071429,-0.00359635206106871
"Trial 18",-0.167422799821429,0.11441248259542
"Trial 19",-0.283628934642857,-0.155631048396947
"Trial 20",-0.345975420535714,-0.636928517099237
"Trial 21",0.0478870321428572,-0.352145756717557
"Trial 22",0.78733788375,0.172307853358779
"Trial 23",-1.15960076375,-0.227622064122137
"Trial 24",0.170003080535714,0.898735447328244
"Trial 25",-0.38707064,-0.165996247328244
"Trial 26",0.0214724533928571,0.164028291145038
"Trial 27",0.540833363928571,0.350887225648855
"Trial 28",-0.148690225357143,0.195855628091603
"Trial 29",-0.548331899464286,-0.445366093664122
"Trial 30",0.174536642321429,-0.0306875579389313
"Trial 31",0.741440033571429,0.348131966259542
"Trial 32",0.170438243035714,0.174685248167939
"Trial 33",0.475004374285714,-0.221701269160305
"Trial 34",0.363013438571429,0.0474076712977099
"Trial 35",-0.111463409285714,-0.108716410534351
"Trial 36",0.659153474821429,0.479292848778626
"Trial 37",-0.461133775357143,0.0135576732061069
"Trial 38",0.00580261285714283,-0.0633128077099236
"Trial 39",-0.1445758125,-0.0555579506870229
"Trial 40",0.10175395125,0.330232938473283
"Trial 41",0.0130411882142857,-0.0300355261832061
"Trial 42",-0.142449493571429,0.234095175114504
"Trial 43",0.483270212321429,0.328627158854962
"Trial 44",0.343992214464286,0.403094373435115
"Trial 45",-0.0353405608928571,0.0951741734351145
"Trial 46",-0.0054706392857143,-0.0410079610687023
"Trial 47",-0.210870158392857,-0.0782012147328244
"Trial 48",-0.426308126071429,-0.113475675038168
"Trial 49",0.0598264280357143,-0.113686689007634
"Trial 50",0.216723244642857,-0.251834192519084
"Trial 51",-0.480177316607143,-0.497670651908397
"Trial 52",-0.05700703125,-0.264171689923664
"Trial 53",0.483954522142857,0.237282742824428
"Trial 54",0.264823758928571,0.109944478396947
"Trial 55",-0.222450888035714,-0.250799813129771
"Trial 56",0.442265533928571,0.0533008361068702
"Trial 57",0.120871919285714,0.0637970452671755
"Trial 58",0.311219569107143,-0.216598637099237
"Trial 59",-0.0860269039285715,0.231298142977099
"Trial 60",0.192139311785714,-0.497933072213741
"Trial 61",-0.391635927678571,-0.358921091832061
"Trial 62",0.596134085892857,0.334344907251908
"Trial 63",-0.112038714464286,-0.26311806610687
"Trial 64",0.481017397321429,0.118257335038168
"Trial 65",0.101495685357143,0.0645015171755726
"Trial 66",0.0243796048214285,0.0990383945801527
"Trial 67",0.0464160082142857,-0.124016903129771
"Trial 68",-0.563610826607143,-0.185971473816794
"Trial 69",0.368724540714286,0.098785526870229
"Trial 70",0.429960024285714,-0.175502400534351
"Trial 71",-0.243008670357143,0.111647536335878
"Trial 72",0.1055403975,0.464557004427481
"Trial 73",0.624621999285714,0.0599000551145038
"Trial 74",0.260055193392857,0.120522484427481
"Trial 75",-0.394830577678571,-0.194783583358779
"Trial 76",0.00285943392857139,0.0895806402290077
"Trial 77",-0.66495523125,-0.0288993870229008
"Trial 78",0.166550442857143,-0.247284185114504
"Trial 79",0.361856109285714,0.594451972900763
"Trial 80",0.0749985391071429,-0.241347532824427
"Trial 81",0.462684272321429,0.0198601629770992
"Trial 82",0.420871978571429,0.58145366740458
"Trial 83",0.330275903035714,0.171327673587786
"Trial 84",0.317776742857143,0.083680853129771
"Trial 85",0.598230049107143,-0.068930464351145
"Trial 86",0.581001817857143,0.265236464885496
"Trial 87",-0.116403285535714,0.260591697328244
"Trial 88",0.791975910357143,0.33200388259542
"Trial 89",0.161052880535714,-0.174534844732824
"Trial 90",-0.00283108321428569,0.212537937251908
"Trial 91",-0.0786425123214286,-0.352745510152672
"Trial 92",0.674082172857143,-0.109099975038168
"Trial 93",-0.841930271964286,-0.966825836717557
"Trial 94",-0.730395040892857,-0.786277852824428
"Trial 95",-0.287873677142857,-1.00373494412214
"Trial 96",-0.796082782321428,-0.650210233816794
"Trial 97",-0.921112535892857,-1.26596755793893
"Trial 98",-3.12663199857143,-1.53654077625954
"Trial 99",-0.638951338035714,-1.47199653167939
"Trial 100",-1.37026602392857,-1.52937097534351
"Trial 101",-1.84682034053571,-1.56729227717557
"Trial 102",-1.34961281660714,-1.50536496099237
"Average of Trials",0.0372157799142157,-0.0068128734942374
