Row,Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230
"Trial 1",-1.40803422428571,-4.71944110358779
"Trial 2",-3.96201911089286,-3.37499387519084
"Trial 3",-2.10301339785714,-3.12891506717557
"Trial 4",-3.54061084910714,-4.08129075977099
"Trial 5",-4.23679763035714,-4.37352173870229
"Trial 6",-2.59325520553571,-2.23579483923664
"Trial 7",-1.08588827428571,-2.87448658503817
"Trial 8",-1.62876058214286,-1.21363666870229
"Trial 9",-1.10459202732143,-1.00212268374046
"Trial 10",4.69157208714286,0.295512234961832
"Trial 11",-0.0253071691071429,0.949202667709924
"Trial 12",-1.90454373714286,-0.863776017175572
"Trial 13",1.84622054107143,0.960090154427481
"Trial 14",0.997237867142857,-0.521663562671756
"Trial 15",-0.792500175714286,1.25711523717557
"Trial 16",1.23332857910714,0.941548770839695
"Trial 17",1.34767589,0.237069425343511
"Trial 18",0.689596060357143,0.68737089351145
"Trial 19",0.760386636607143,0.300351761221374
"Trial 20",-0.388117093571428,0.821014407328244
"Trial 21",1.53028885142857,-1.14983553267176
"Trial 22",0.152142089642857,-0.028959945572519
"Trial 23",0.357441638928571,0.496646084351145
"Trial 24",-1.68333989428571,-1.0015067129771
"Trial 25",-0.619939175714286,-0.312169976946565
"Trial 26",0.336978522321429,0.478331774503817
"Trial 27",0.15651506125,-0.981150695419847
"Trial 28",2.50238471482143,0.949694836488549
"Trial 29",2.51123122678571,0.555783163587786
"Trial 30",0.624201104107143,0.698560102290076
"Trial 31",2.40345697107143,-0.349885511374046
"Trial 32",-0.37843800875,1.9431938178626
"Trial 33",0.617418025535714,-1.09678037549618
"Trial 34",-1.38978466178571,0.231175185954198
"Trial 35",-0.930264348035714,-0.628969946412214
"Trial 36",-0.115590382857143,-0.178743611068702
"Trial 37",-0.747651449285714,0.216053580610687
"Trial 38",0.0126112782142857,-0.220893567175572
"Trial 39",-1.37234238964286,-0.142672933053435
"Trial 40",2.74945055160714,-1.91103596938931
"Trial 41",2.66405512017857,-0.960154636259542
"Trial 42",-1.81261923017857,-0.251832906259542
"Trial 43",-1.81505052142857,0.781445003816794
"Trial 44",-0.907755717678571,1.13635146061069
"Trial 45",-1.58125284142857,-0.818805885877863
"Trial 46",0.167140040178572,0.394680800458015
"Trial 47",-0.384084018035714,-0.552740719923664
"Trial 48",1.65304287553571,0.394232220916031
"Trial 49",0.522891070535714,0.557264229160305
"Trial 50",0.0195901362500001,-0.554196340687023
"Trial 51",1.4986500575,1.61383986183206
"Trial 52",1.97892242660714,-1.13161039992366
"Trial 53",-2.54984354232143,-1.14148530969466
"Trial 54",-1.29927583017857,-0.410719811145038
"Trial 55",-2.08619144107143,-0.850164474274809
"Trial 56",-2.92658452464286,-1.10599682580153
"Trial 57",0.419305929107143,0.567489771145038
"Trial 58",-2.38940070071429,-1.11765430671756
"Trial 59",-1.50548343375,-0.739188117328244
"Trial 60",-0.510390671785714,1.69787521664122
"Trial 61",0.871127452321429,0.0780944486259542
"Trial 62",-0.23620321875,0.0688599819847328
"Trial 63",0.939824944464286,-0.288347510610687
"Trial 64",2.02894832160714,0.192421541984733
"Trial 65",0.705169627142857,-0.239406382137405
"Trial 66",-0.980669382857143,-0.544124688015267
"Trial 67",0.707777701607143,-0.207479836335878
"Trial 68",2.17715692107143,0.75693262389313
"Trial 69",-0.712703866428572,-0.00484697274809156
"Trial 70",-0.126485387142857,-0.956666980458015
"Trial 71",0.666755330714286,1.81129441152672
"Trial 72",-1.38028250267857,-0.763684002137405
"Trial 73",1.156204165,-0.217943054045802
"Trial 74",1.23989474339286,-0.347932559007634
"Trial 75",-1.56373177160714,-0.942286169923664
"Trial 76",0.182447244285714,-0.150793828396946
"Trial 77",0.174783089464286,-0.377023459694657
"Trial 78",-0.840892541428572,0.402962711984733
"Trial 79",-0.666093788214286,-1.15681200671756
"Trial 80",-0.800704494107143,0.436243343587786
"Trial 81",-0.865310707142857,-0.246081386946565
"Trial 82",-0.751664197142857,0.0969264119847328
"Trial 83",1.48465918428571,1.60916493442748
"Trial 84",2.59574342571429,0.491028491755725
"Trial 85",-1.05542072160714,-0.518471347709924
"Trial 86",-0.025833685892857,0.307943373664122
"Trial 87",1.1168092675,-1.23323907748092
"Trial 88",-1.70061096875,0.38329559740458
"Trial 89",1.10854940357143,1.61777924526718
"Trial 90",-1.0135061825,-1.23895086641221
"Trial 91",-0.746730385,-0.12210500351145
"Trial 92",1.44672690607143,3.12249843496183
"Trial 93",0.541047037142857,2.27136199534351
"Trial 94",0.512740166964286,1.77985699274809
"Trial 95",2.26136172464286,0.93092229259542
"Trial 96",2.78607276303571,4.25938570534351
"Trial 97",1.71508300464286,3.79326127450382
"Trial 98",2.01676212339286,3.85777586916031
"Trial 99",2.51491501696429,4.42934654793893
"Trial 100",3.98093984410714,4.75843980717557
"Average of Trials",0.041296687,0.0103469615587786
