Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
-1.78674257,-2.99814844,-0.57951462,1.61513829,3.69966888,-0.57323122,0.28266573,-4.35517502,2.59778404,1.35885859,-1.90310144,1.49069381,-0.27915716,2.74532795,2.32033634,0.46007663,-0.04157954,1.85712385,0.89255941,2.09966803,2.5394876,0.41757405,-0.23789662,0.05944335,2.14213657,-3.16884875,0.84325254,-0.30430681,0.39758086,-1.01523781,2.41685629,1.5650754,-1.69046283,2.2579875,-1.08459616,-2.2558229,-1.2583611,-1.60866165,0.88544923,-0.96250975,-1.28411829,2.56607246,-0.0497359,-1.20181668,-0.03385031,-1.18002117,-0.89832234,-1.5106504,-0.79339403,1.38744187,-2.13487148,-0.20329976,1.82149816,7.68807983,-0.29202998,-1.66461861,-9.4465332,-1.49668217,3.70325541,2.20341635,6.33928013,-3.07802963,-1.28698397,-3.52136207,-6.49098015,1.86119604,-0.83191812,-1.25189757,-0.68244809,-1.25245309,-1.37090468,0.02614856,0.45414639,2.95794797,-0.17232943,-0.94693089,12.50110435,1.25723267,-2.45405149,-5.5945611,-3.03747535,0.50123405,-0.29963541,0.49195677,-1.23993075,1.06631303,3.1604898,2.40822864,-0.35471147,0.65899611,-3.75769091,-1.42173398,1.27698934,-1.3280499,-0.89281005,-1.85490203,-1.12099147,4.41995239,-6.27460575,0.08826429,-0.0502669651,-6.27460575,6.33928013,0.278145348895788
-2.15766478,-2.9465313,-0.48347807,1.84287453,3.59441733,-0.38954353,0.09820974,-3.98268747,3.07044506,1.53693295,-1.95175767,0.98571992,-0.55756384,2.54030609,1.51485515,0.27400756,-0.37406707,1.76422119,1.16610527,2.57436061,1.8982327,0.4600324,-0.00613636,-0.367966,2.63024211,-3.18380189,0.10878313,-0.50961548,0.36634624,-0.88068748,2.30706358,1.19078422,-1.68092871,2.1017046,-1.70538306,-2.46480918,-1.13628757,-1.24490368,0.9962315,0.28747463,-1.50809979,2.21684456,0.11167479,-1.50923991,0.43978897,-1.37210083,-1.14466453,-1.69145238,-0.59384555,1.61469269,-2.23005581,-0.08717287,2.14431953,7.53336382,0.02648413,-1.32881927,-9.85289383,-1.85383725,4.88183117,2.6009686,5.47266245,-2.82117867,-1.28086805,-3.2029078,-6.14968491,1.65524971,-0.5782299,-1.2595396,-0.65787011,-1.243788,-0.73322892,0.00869352,0.1394608,2.78007579,-0.16776419,-1.10741949,13.85711384,0.84156263,-2.61403942,-5.62637234,-2.85712719,1.33401549,0.17169452,0.77197707,-0.95218682,0.97207671,2.823349,1.70441747,-0.3891511,1.7740376,-3.50783587,-1.1206156,1.64854074,-0.45375156,-0.70598871,-1.86123204,-1.51179183,5.03233528,-6.36216354,0.17540473,-0.00318744700000001,-6.14968491,5.47266245,0.284268373567445
-2.48170781,-2.84053898,-0.48230278,2.03360701,3.38839436,-0.22226143,-0.09469604,-3.5161624,3.43950629,1.73579061,-1.96464622,0.43434179,-0.81401891,2.24975061,0.72265577,0.05858982,-0.70458788,1.62420022,1.33833981,2.96539664,1.21051121,0.48155648,0.22044832,-0.7917369,3.01614952,-3.11578655,-0.63362813,-0.66535997,0.29142311,-0.69064903,2.14776397,0.77221,-1.61071491,1.93683147,-2.21936417,-2.54946232,-0.93982351,-0.85859275,1.10946691,1.49188876,-1.75101197,1.81437135,0.25162566,-1.80053675,0.89157748,-1.53892982,-1.33701348,-1.84024394,-0.37420428,1.76687217,-2.21971416,0.03619915,2.37317562,7.14692593,0.34616843,-0.91686368,-10.01120186,-2.16519356,5.77459288,2.95435572,4.38468933,-2.45216537,-1.20272422,-2.78673315,-5.66966152,1.38218975,-0.33367682,-1.21810877,-0.57230616,-1.2009573,-0.09017038,-0.00704867,-0.18476844,2.56581664,-0.17378688,-1.25874722,14.84482956,0.40875036,-2.7060523,-5.58841372,-2.58025265,2.09144545,0.64679921,1.00774181,-0.63319272,0.84649396,2.40444636,0.914222,-0.39684707,2.7926321,-3.17017388,-0.7920835,1.96818042,0.39021552,-0.51594019,-1.81187677,-1.8660295,5.4390192,-6.22976065,0.27492964,0.0379465634,-5.66966152,5.77459288,0.287845629186862
-2.73258686,-2.68788862,-0.5621053,2.18229008,3.08452916,-0.07379222,-0.28681296,-2.97306156,3.6895771,1.94718575,-1.9466964,-0.1456902,-1.03778636,1.88435495,-0.03171496,-0.17547238,-1.02582788,1.43966472,1.40818894,3.25942111,0.49890113,0.48257428,0.43806225,-1.19344163,3.29374409,-2.96603274,-1.35814106,-0.76376969,0.17651914,-0.46251795,1.94412446,0.32275516,-1.49037838,1.76447701,-2.61021662,-2.51220322,-0.67740798,-0.46347392,1.22039521,2.62257862,-1.9903754,1.37436938,0.364465,-2.06318188,1.3005296,-1.67216897,-1.46610689,-1.94211423,-0.1441468,1.8389349,-2.10958648,0.16309232,2.4978261,6.54601192,0.653669,-0.4473784,-9.89891815,-2.4251399,6.32703781,3.2447114,3.12085295,-1.98146772,-1.04927111,-2.29210877,-5.06066704,1.05261171,-0.11138439,-1.1266824,-0.42952833,-1.12914753,0.5333693,-0.02234,-0.50995111,2.32204866,-0.18937939,-1.38430083,15.43614388,-0.02862281,-2.72614384,-5.47630072,-2.20946145,2.74289131,1.11104059,1.18771005,-0.30693769,0.69470251,1.91063631,0.06538081,-0.38633755,3.68074703,-2.76182747,-0.44151372,2.2264924,1.169137,-0.32830262,-1.70726395,-2.17792702,5.61276484,-5.89079094,0.3864305,0.0715915605,-5.47630072,6.32703781,0.288166068930319
-2.8866291,-2.4979322,-0.70392239,2.28510666,2.68924284,0.05508041,-0.46943241,-2.3734591,3.8100121,2.16022539,-1.90302491,-0.73503625,-1.21971512,1.45839763,-0.7264334,-0.41588104,-1.33026528,1.21434712,1.38017941,3.44697571,-0.21302032,0.46417323,0.64281583,-1.55542839,3.46054363,-2.73745918,-2.03946447,-0.80015469,0.0280437,-0.21571995,1.7028054,-0.14299613,-1.33207393,1.58481359,-2.86755013,-2.36168408,-0.36049747,-0.07404995,1.32364106,3.65471387,-2.20196652,0.91392612,0.44575864,-2.28530359,1.64824104,-1.7644074,-1.52525806,-1.98371553,0.08579326,1.8289845,-1.90992761,0.29012525,2.51278877,5.75632,0.93650174,0.05776715,-9.50121021,-2.62916183,6.50314236,3.45421743,1.73388505,-1.42412329,-0.82143688,-1.74174488,-4.33676863,0.67885518,0.07827735,-0.98629367,-0.23734671,-1.03447294,1.11397052,-0.03882122,-0.8269372,2.05530739,-0.21207404,-1.46903443,15.61984634,-0.45881569,-2.67243862,-5.28604889,-1.75212669,3.26343346,1.54962659,1.30355883,0.00212824,0.52299422,1.35176396,-0.81132269,-0.3672016,4.41049528,-2.30244708,-0.07565773,2.4159472,1.85246277,-0.14845228,-1.54988956,-2.44230151,5.53449917,-5.3677783,0.50913078,0.09664551,-5.28604889,5.75632,0.284869779223785
-2.92435455,-2.28118277,-0.88500428,2.33957052,2.21225429,0.16506195,-0.63469088,-1.73924327,3.79553223,2.36197066,-1.83852196,-1.3135128,-1.35258269,0.98915839,-1.34317136,-0.64951909,-1.6103456,0.95314777,1.26406741,3.5229609,-0.90165782,0.4280389,0.83079386,-1.8616091,3.51766586,-2.43458343,-2.65377474,-0.77321374,-0.14523762,0.02958562,1.43170357,-0.60976344,-1.1488564,1.39729607,-2.98727059,-2.11231399,-0.00297666,0.2950114,1.4134022,4.56737232,-2.36125088,0.45058393,0.49241406,-2.45631695,1.9198935,-1.80954432,-1.51078224,-1.95417094,0.30473718,1.73830295,-1.63484788,0.41434675,2.41761017,4.81077862,1.18359756,0.57463193,-8.81241417,-2.773844,6.28754711,3.56725311,0.28143513,-0.7989347,-0.52441108,-1.16056335,-3.51588702,0.27459323,0.22821903,-0.79987192,-0.00723656,-0.92360699,1.63068867,-0.05841172,-1.12624514,1.77163792,-0.23812103,-1.50027966,15.40162277,-0.87121856,-2.54529572,-5.01431322,-1.22018075,3.63481092,1.94810987,1.35066426,0.27053678,0.33852363,0.74045736,-1.68346035,-0.34942105,4.96127939,-1.81321788,0.29756725,2.53127909,2.41516829,0.01880312,-1.34425414,-2.65455842,5.19454479,-4.69076586,0.64173013,0.1125114914,-4.69076586,5.19454479,0.277991136726081
-2.83183408,-2.04877377,-1.08032489,2.34456301,1.66639459,0.25818753,-0.77585435,-1.09325099,3.64669251,2.53819585,-1.75744212,-1.86088443,-1.43131828,0.49607727,-1.86767411,-0.86325705,-1.85868526,0.66215062,1.07421851,3.48683906,-1.54436207,0.37635481,0.99811643,-2.09821916,3.46969986,-2.06344056,-3.17959762,-0.68515521,-0.3326745,0.25383386,1.13957608,-1.06210279,-0.95392787,1.20084131,-2.97166634,-1.78344941,0.37951267,0.6295042,1.48374116,5.34397268,-2.4449141,0.0014503,0.50289488,-2.56752205,2.10492015,-1.80310309,-1.42219496,-1.84572911,0.50200248,1.57128286,-1.30148625,0.53330779,2.21685648,3.74800897,1.38576198,1.0784651,-7.8368926,-2.85690928,5.68658257,3.57151604,-1.17658949,-0.12765002,-0.16752017,-0.57436514,-2.6192565,-0.14545178,0.33491969,-0.57217026,0.24629906,-0.80337769,2.06588101,-0.08311999,-1.39830506,1.476385,-0.26281464,-1.46852577,14.80315781,-1.25655293,-2.34737563,-4.65866041,-0.62965679,3.84604669,2.29300976,1.32826269,0.47711301,0.14902282,0.09178301,-2.51827908,-0.34273851,5.32051563,-1.31584752,0.66931987,2.56976128,2.83875847,0.1694963,-1.09671795,-2.81075048,4.59348345,-3.89541698,0.78226221,0.1191321028,-3.89541698,5.34397268,0.267986800408734
-2.60181308,-1.81190586,-1.2641902,2.3003571,1.06712794,0.33753991,-0.88749766,-0.45833874,3.36993074,2.6742599,-1.66311276,-2.35765409,-1.45318794,-0.00019577,-2.29012132,-1.04481232,-2.06828904,0.34858131,0.82867879,3.3426888,-2.12036705,0.31173086,1.14104295,-2.25444794,3.32446814,-1.63147318,-3.59863281,-0.54160076,-0.52236092,0.43936336,0.83569026,-1.48490834,-0.75991523,0.99412787,-2.82915235,-1.39831972,0.77037287,0.9163205,1.52883101,5.97245836,-2.43236852,-0.41767266,0.47721362,-2.61255932,2.19748998,-1.74245214,-1.26235306,-1.6544255,0.66766775,1.33520889,-0.92904282,0.64509672,1.91985238,2.61053324,1.53600109,1.54505026,-6.58978081,-2.87714934,4.72806931,3.45903778,-2.58069324,0.56610966,0.2361998,-0.00848487,-1.67064905,-0.5660063,0.39848852,-0.30962151,0.50650674,-0.68039727,2.40592289,-0.11488807,-1.63373101,1.17417789,-0.2808103,-1.36793721,13.86049843,-1.60695839,-2.08364749,-4.217875,-2.257e-05,3.89367008,2.57237291,1.23941731,0.60429126,-0.03756493,-0.57720768,-3.28415251,-0.3559891,5.48402882,-0.831536,1.03012764,2.53141522,3.11193132,0.30071294,-0.81527621,-2.90763879,3.74271202,-3.02086258,0.92799181,0.1169931562,-3.59863281,5.48402882,0.255752132558131
-2.23445082,-1.58128762,-1.4118762,2.20853806,0.43209147,0.40686941,-0.96564382,0.14355713,2.97742033,2.75601602,-1.55774629,-2.78586507,-1.41782987,-0.47872317,-2.60529757,-1.18352222,-2.23278332,0.02070709,0.54816991,3.09897399,-2.61161995,0.2371037,1.25610352,-2.32290745,3.09268045,-1.14744782,-3.89640689,-0.35132596,-0.70180321,0.57155061,0.52938962,-1.86393571,-0.57819486,0.77585596,-2.57369614,-0.98275995,1.1528306,1.14407563,1.54325652,6.4453454,-2.3071177,-0.79307353,0.41695404,-2.5877912,2.19677114,-1.62697482,-1.03737307,-1.38041496,0.79311395,1.03993881,-0.5377112,0.74829662,1.54018903,1.44280374,1.62976825,1.95200431,-5.09727621,-2.83452606,3.45997357,3.22686982,-3.87444615,1.25793779,0.67058921,0.513515,-0.69553006,-0.97167766,0.42244601,-0.02015293,0.75536662,-0.56067294,2.64164615,-0.155442,-1.82364225,0.86891186,-0.28659117,-1.19671392,12.62168407,-1.91601419,-1.76129007,-3.69228721,0.6467337,3.78158689,2.77627897,1.09082353,0.63918483,-0.21345556,-1.24801564,-3.95183063,-0.39649603,5.45594931,-0.37996244,1.37027907,2.41907883,3.230865,0.41076827,-0.50926894,-2.94278049,2.66450834,-2.10749269,1.07534552,0.1070957204,-3.89640689,5.45594931,0.242612455699457
-1.73769689,-1.36657667,-1.50116301,2.07197452,-0.21956301,0.4701755,-1.00781536,0.69234264,2.4865489,2.77081776,-1.44234002,-3.12983799,-1.32718492,-0.91933876,-2.81254292,-1.27102542,-2.34664059,-0.31228402,0.25488484,2.7681427,-3.00353932,0.15563786,1.34026098,-2.29999876,2.78743649,-0.62132633,-4.06284475,-0.12578982,-0.85868502,0.6398024,0.22976017,-2.1862669,-0.41829455,0.54506969,-2.22407913,-0.56378061,1.51070094,1.30367112,1.52229834,6.75958061,-2.05796003,-1.11379278,0.32517463,-2.49245477,2.10677385,-1.45810866,-0.75647509,-1.02819633,0.87154174,0.69750309,-0.14760026,0.84190691,1.09500623,0.28919148,1.66507483,2.27997398,-3.39628601,-2.73010468,1.94790959,2.87762427,-5.00700521,1.92370331,1.11719644,0.97104591,0.2798692,-1.34740746,0.4132576,0.28713888,0.9746421,-0.44931012,2.76860189,-0.20610929,-1.95998561,0.56381828,-0.27490723,-0.9572562,11.14392281,-2.17867661,-1.38950896,-3.08404636,1.28716886,3.52060652,2.89731216,0.89235181,0.57442945,-0.37136364,-1.90132606,-4.49570942,-0.46951902,5.24826908,0.02162278,1.68015552,2.23837948,3.19909477,0.49928141,-0.18901333,-2.9146049,1.39168906,-1.19478559,1.2198993,0.0909011429,-4.06284475,5.24826908,0.230254092018343
