Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
3.44908428,0.82419932,3.29710317,-2.65173912,-13.1167202,4.42239523,15.91139126,2.71232843,2.04106569,-0.99189544,14.21190548,0.17805962,-18.80331039,-1.08596909,-9.47553825,-6.88409424,3.70025539,4.15077829,-14.48069286,-3.18009663,-1.30201018,8.17416477,-1.53520453,0.40847889,1.53874111,-5.31634283,4.02021408,-6.68070984,-8.56870461,-7.19651651,0.26762274,-1.51466453,-2.68590832,1.24610281,-0.75602055,-3.06888318,1.34941113,9.09710407,-6.85929728,2.98812032,0.27197468,-9.91138458,-1.04832029,2.34159517,2.95953822,-4.03901672,5.42973661,3.70516896,5.97489405,3.58725047,4.25041008,-1.91981506,-16.32444572,11.26200485,-2.21515846,-1.29338086,0.7557314,-0.66788781,-2.11728954,0.8930403,5.98641586,-4.09501553,-4.24550819,-1.72692013,-4.10766459,1.99051738,-2.23581767,-12.54128838,-7.67205429,4.83464003,11.89848328,-1.45250094,-14.48034,0.84924543,-1.42650759,-6.09027815,3.18097758,-5.89783525,2.55083966,2.13700962,-0.19044414,4.4061265,4.46646976,4.45509624,-4.34946299,0.16197464,-4.82343817,0.93496305,-1.34697163,6.45393324,10.15214252,1.70824993,-1.7439177,-4.73362064,-6.41761827,-0.54020578,1.13366175,0.73361427,3.45525432,-2.64493728,-0.51543879,-14.48069286,11.89848328,0.605739752917137
4.059165,0.14871372,2.97227216,-2.55112457,-13.47919273,4.4176116,17.72920036,2.79350138,3.13915777,0.35583004,14.01655006,-0.05051149,-19.23701668,-2.35125899,-9.06484985,-4.82624674,4.38985586,3.18090248,-15.16048431,-4.14508295,-1.489115,10.31363106,-1.08195436,0.16248098,0.03043214,-6.29329824,4.31495428,-7.03950834,-8.04602814,-7.5532198,0.79801255,-1.09430528,-3.99246621,2.31390262,-1.19653797,-2.0008924,1.73042023,10.82450771,-8.89940834,2.75781941,0.16798961,-8.00191784,0.41056809,2.52366734,2.58868217,-3.94533706,4.88228607,2.56353784,5.53802013,4.14846134,4.3332572,-2.30423164,-16.66429329,10.19213867,-2.59878492,-1.74792659,0.35449538,-1.50604522,-2.82672668,0.64757502,6.69215584,-4.68924904,-4.96177912,-1.85672069,-4.92565632,1.98492646,-2.12729669,-11.7210865,-6.06170082,4.20363712,12.64154243,-1.80700147,-14.25891018,0.82870805,-1.89224112,-6.52325583,4.18718433,-6.02153111,2.18409061,1.23922634,-0.2323052,1.42745066,2.40059996,2.41525388,-3.70896554,-0.03211436,-4.15040016,2.08333707,-1.41474664,5.14659786,8.71144772,0.92820936,-0.94458228,-4.08520365,-6.40299892,-1.3837992,0.20764636,0.05893579,2.37830281,-3.70470405,-0.635351616,-15.16048431,12.64154243,0.609510890344274
4.61594296,-0.50087774,2.67339826,-2.29541779,-13.3260603,4.26403189,18.83235168,2.78975058,4.01480627,1.77281916,13.30729771,-0.40261322,-19.09311104,-3.54410148,-8.43341827,-2.77569866,5.0366416,2.11153173,-15.30740833,-4.92024803,-1.70977008,12.09310532,-0.64199537,-0.14855975,-1.63563609,-7.00568676,4.51534939,-7.18841553,-7.35475111,-7.67632294,1.33324146,-0.62759727,-5.3351016,3.04304981,-1.50100791,-1.02375746,2.09220409,12.16818619,-10.74792862,2.43326092,-0.04675935,-5.91416407,1.66848397,2.71560216,2.18173361,-3.7477777,4.27567911,1.20596695,5.05800438,4.51413631,4.3332305,-2.63519192,-16.52677345,8.87865639,-2.86553788,-2.13211393,0.00709679,-2.24524665,-3.38131928,0.35709158,7.06356525,-5.19035625,-5.56913805,-1.88473177,-5.65064383,1.83252788,-1.99547279,-10.64212704,-4.31083679,3.3832233,13.19954014,-2.21122932,-13.86216259,0.66948879,-2.32296252,-6.72806311,4.87124395,-5.94503736,1.71468496,0.23751481,-0.25085256,-1.74987948,0.15909083,0.4100776,-2.89062309,-0.21860066,-3.41301036,3.12953758,-1.44076121,3.64491892,7.29920387,0.13327034,-0.13716654,-3.38100505,-6.21677876,-2.14881158,-0.76550436,-0.61733377,1.2920984,-4.75683022,-0.7565765125,-15.30740833,13.19954014,0.60936676049663
5.08245373,-1.12841642,2.38039899,-1.88137639,-12.63623142,3.98245931,19.15582848,2.68464518,4.6351943,3.16128039,12.11169815,-0.85618997,-18.33895493,-4.61587238,-7.59679699,-0.82189023,5.60783291,0.98289704,-14.90782452,-5.48728132,-1.92786837,13.43823147,-0.22068708,-0.5075779,-3.41368127,-7.43952799,4.62694883,-7.10748911,-6.50996637,-7.5751133,1.87202263,-0.12492584,-6.66081381,3.43783689,-1.66370535,-0.16843331,2.41089058,13.07781315,-12.35982895,2.00924397,-0.36840627,-3.69196534,2.67519069,2.93159032,1.74819899,-3.44883037,3.59303093,-0.33583724,4.54833126,4.66871405,4.23787642,-2.88858366,-15.9083004,7.38309574,-2.99727678,-2.39934754,-0.26767322,-2.86831379,-3.77428341,0.02269235,7.09565639,-5.55955982,-6.03751135,-1.80448711,-6.26026821,1.5428257,-1.83771431,-9.35694981,-2.48893952,2.40009189,13.54889679,-2.66392088,-13.3046484,0.37132469,-2.70988798,-6.69659758,5.20993042,-5.69446945,1.16769052,-0.83405715,-0.25404292,-5.01801682,-2.11024284,-1.50422597,-1.93786144,-0.39090985,-2.64277101,4.03059864,-1.42339671,2.00605011,5.93942642,-0.63687187,0.6523363,-2.64303374,-5.88299704,-2.81323624,-1.7511971,-1.28593588,0.21925505,-5.75981331,-0.8755235588,-14.90782452,13.43823147,0.604309869141518
5.42503643,-1.73808897,2.07317281,-1.31258214,-11.41328907,3.60015988,18.6692009,2.46708155,4.98086977,4.42651653,10.47725296,-1.38248014,-16.96684265,-5.52120972,-6.57608032,0.95291501,6.07329988,-0.16310914,-13.97130108,-5.83735418,-2.10976863,14.29127312,0.17895876,-0.89487815,-5.24890566,-7.59327269,4.65667105,-6.78529072,-5.53007936,-7.26695347,2.40872908,0.40034699,-7.91044664,3.52177906,-1.68700087,0.54307908,2.66567206,13.52008438,-13.69515514,1.48449659,-0.78671879,-1.38690507,3.39582133,3.18219829,1.2973597,-3.05473304,2.81732774,-2.01923919,4.01953125,4.60648108,4.03713036,-3.04338241,-14.82331181,5.77374125,-2.98214412,-2.50924993,-0.45372179,-3.36208129,-4.00564241,-0.35135874,6.795506,-5.7619791,-6.34100151,-1.61520362,-6.73509741,1.13194156,-1.65130806,-7.92196703,-0.66526812,1.28734946,13.67220879,-3.15921974,-12.60431862,-0.05858444,-3.04638028,-6.43003845,5.19714546,-5.30225086,0.57162791,-1.936378,-0.25058898,-8.26109982,-4.26272202,-3.27651429,-0.90061301,-0.54231828,-1.86969018,4.74962902,-1.36169314,0.29361272,4.64488029,-1.34498656,1.3999337,-1.89133465,-5.4312005,-3.35954857,-2.71277952,-1.93563879,-0.81790131,-6.67103577,-0.9881121616,-13.97130108,13.67220879,0.594034954644409
5.61524105,-2.33336473,1.73331368,-0.59991848,-9.68631077,3.14915395,17.37823105,2.13218164,5.04657698,5.48217916,8.46939182,-1.94795716,-14.99507236,-6.2203393,-5.39721394,2.47761011,6.40718889,-1.28466642,-12.53029346,-5.97113132,-2.22628689,14.61366844,0.55572617,-1.2891928,-7.07958174,-7.47764158,4.61219501,-6.21965551,-4.43667507,-6.77625608,2.93314219,0.93252784,-9.02141666,3.33523321,-1.58081365,1.09823704,2.83986449,13.48013973,-14.72054958,0.86240149,-1.28534579,0.94342571,3.81205511,3.47335148,0.83783907,-2.57542396,1.93322861,-3.79209304,3.47912335,4.33230591,3.72404242,-3.0831039,-13.30414963,4.12247849,-2.81543398,-2.43016291,-0.53879517,-3.71783233,-4.08187628,-0.75765073,6.18189526,-5.76869202,-6.45915842,-1.32192659,-7.05934715,0.62163973,-1.43400609,-6.39486074,1.09444082,0.08306572,13.55912399,-3.68685246,-11.78159809,-0.60578096,-3.32800603,-5.93897581,4.84393215,-4.80514908,-0.04313407,-3.0269804,-0.24937999,-11.35995197,-6.16424417,-4.86229134,0.1675286,-0.66621333,-1.12103856,5.25747013,-1.25549829,-1.42510784,3.4178443,-1.95857477,2.08434582,-1.14349782,-4.89479256,-3.77498579,-3.61322403,-2.55346465,-1.79775846,-7.44836235,-1.0899571844,-13.30414963,13.55912399,0.579050519971618
5.63140774,-2.91604257,1.3456794,0.23824489,-7.50940895,2.66425824,15.32478809,1.68184042,4.84133387,6.25500441,6.16865969,-2.51652265,-12.46774769,-6.68122959,-4.09022141,3.69564199,6.58930254,-2.3417449,-10.63873959,-5.8983326,-2.25431275,14.38777637,0.90950608,-1.66882098,-8.8395834,-7.11485577,4.50143719,-5.41813087,-3.25428987,-6.13318491,3.4305985,1.45440924,-9.93082619,2.93216085,-1.36166871,1.49394381,2.92166495,12.96216583,-15.41059017,0.15148886,-1.84237361,3.23757958,3.92239952,3.80562139,0.37726477,-2.02433372,0.92887306,-5.59466219,2.93181801,3.86180091,3.295367,-2.9970181,-11.40011597,2.50144577,-2.5000844,-2.14119005,-0.51548213,-3.93159485,-4.01529741,-1.18582857,5.28446531,-5.5585227,-6.37805748,-0.93536317,-7.22146559,0.03809902,-1.18455803,-4.83208609,2.73097491,-1.17136979,13.20693398,-4.23258543,-10.85846329,-1.24911463,-3.55246139,-5.24308777,4.17765999,-4.24212074,-0.64605111,-4.06195545,-0.25889182,-14.1970129,-7.6980052,-6.22497177,1.21238112,-0.75639981,-0.42032281,5.53401279,-1.10563004,-3.08211064,2.25160384,-2.45182037,2.68755007,-0.41441306,-4.30918503,-4.05158997,-4.41685343,-3.12507319,-2.69986415,-8.05184555,-1.1765832297,-12.46774769,13.20693398,0.560744534829118
5.45988369,-3.48544145,0.89968979,1.17628467,-4.95999527,2.18097425,12.58513355,1.12488461,4.38776159,6.68877935,3.66722894,-3.05181599,-9.45333862,-6.8814497,-2.68836069,4.56764364,6.60616636,-3.29773355,-8.36963844,-5.63687754,-2.17796826,13.61771965,1.24054575,-2.01278472,-10.46123219,-6.53730297,4.33213854,-4.3980546,-2.01007748,-5.37214327,3.88255715,1.94820368,-10.57881069,2.3762424,-1.05143893,1.73604488,2.90459108,11.98915482,-15.74888134,-0.63434523,-2.43117785,5.43271112,3.74158382,4.17386913,-0.07795795,-1.41801858,-0.2024145,-7.3619647,2.37995553,3.22088456,2.75197649,-2.78105092,-9.17571831,0.97964162,-2.04675364,-1.63366318,-0.38201424,-4.00427246,-3.82319927,-1.62296808,4.14242554,-5.11945915,-6.09113121,-0.47141626,-7.21455145,-0.58949876,-0.90318382,-3.28657794,4.19419336,-2.43298841,12.62087059,-4.77891827,-9.85755253,-1.96163321,-3.71938157,-4.37037039,3.24042296,-3.65209794,-1.20804989,-4.99801254,-0.28660837,-16.66131973,-8.77018833,-7.33679962,2.18227959,-0.80744356,0.21349378,5.56910181,-0.91403931,-4.6116333,1.13253951,-2.80711651,3.195153,0.28374195,-3.70985651,-4.18604326,-5.09102678,-3.63528466,-3.50540161,-8.44538498,-1.2436536173,-10.57881069,12.58513355,0.541366175196657
5.09575176,-4.03781176,0.39031899,2.18193245,-2.13580704,1.7333653,9.26663685,0.47682911,3.72069979,6.74732828,1.06492352,-3.51948833,-6.04206562,-6.80961704,-1.22723484,5.07316828,6.45173025,-4.12090111,-5.81173658,-5.21167517,-1.98924649,12.32930756,1.54869521,-2.30192518,-11.87835407,-5.78569984,4.11158371,-3.18625927,-0.73335123,-4.53013515,4.26755476,2.39654493,-10.91193962,1.73657525,-0.67585748,1.83837998,2.78758764,10.60182667,-15.72884655,-1.47593415,-3.02153969,7.46721649,3.29912496,4.5672636,-0.52275109,-0.77563465,-1.4606384,-9.02644348,1.82413745,2.44473696,2.09906363,-2.43831635,-6.7081666,-0.38032538,-1.47347009,-0.91194648,-0.14280477,-3.94159484,-3.52682877,-2.05412412,2.80286932,-4.4496088,-5.59968948,0.04956828,-7.03659821,-1.23047686,-0.59194338,-1.80577612,5.44498777,-3.65900731,11.8140831,-5.3059783,-8.80133343,-2.71176934,-3.83005071,-3.35595179,2.08674836,-3.0718329,-1.70304739,-5.79457092,-0.33848342,-18.65327263,-9.31433105,-8.17938519,3.03103137,-0.81502509,0.76650172,5.3629837,-0.68395859,-5.9529748,0.0426435,-3.01608372,3.59658194,0.94131118,-3.13041973,-4.17931557,-5.60769463,-4.068717,-4.19767809,-8.59835815,-1.2872021021,-11.87835407,10.60182667,0.523857268147127
4.54313183,-4.56601,-0.18133247,3.21728134,0.84918606,1.35203195,5.50308657,-0.24075359,2.88517618,6.41638422,-1.53510451,-3.88931203,-2.3422246,-6.46633053,0.25612536,5.21142864,6.1276679,-4.78561354,-3.06545663,-4.65313244,-1.68812728,10.56901836,1.83272207,-2.51989007,-13.02935791,-4.90686369,3.84644294,-1.81840312,0.54499644,-3.64507651,4.5624752,2.7834897,-10.88647652,1.08320642,-0.26288602,1.82145846,2.57480216,8.8567543,-15.35414791,-2.3492713,-3.58098364,9.28341866,2.63717079,4.96967793,-0.95332837,-0.1182709,-2.83796763,-10.52083206,1.26397657,1.57618988,1.3461287,-1.97922504,-4.08422756,-1.5251888,-0.80486345,0.00647222,0.19132754,-3.75389552,-3.15023565,-2.46300435,1.31878138,-3.557652,-4.91310358,0.60379899,-6.69054556,-1.85419643,-0.25497282,-0.43005458,6.45658398,-4.80853224,10.80728436,-5.79255342,-7.71137953,-3.46475601,-3.88704181,-2.24054718,0.78071928,-2.53390598,-2.10927105,-6.41577005,-0.41847974,-20.08899689,-9.29418659,-8.74386024,3.72055531,-0.77628106,1.23006523,4.92627764,-0.42001101,-7.05306005,-1.03772056,-3.08001852,3.88510323,1.55080354,-2.60079861,-4.03616047,-5.94474936,-4.41051245,-4.76260519,-8.48708344,-1.3038539873,-13.02935791,9.28341866,0.511438879938389
