Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Trial 101,Trial 102,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
0.37191504,-2.66629219,2.67770672,-2.13014507,2.36410236,-2.52157164,0.38792884,-2.68259883,-0.15358803,-1.90997303,-0.05965132,-0.07051086,1.00466776,-0.16501594,5.65402222,-1.8331188,1.18770456,-0.39894235,-0.43131262,-4.36448479,0.92548776,-1.09298301,3.4418714,5.47134781,1.67702198,-0.97583735,1.04591393,-2.78520536,-3.08396935,-0.81060231,-4.06010723,-6.57535648,-0.44539347,-0.01442635,-1.97387111,0.77499342,-0.47893351,-0.58056617,-2.8756268,-0.11564064,1.52429628,-0.15003085,1.1160363,0.42271221,-1.33826375,2.13112974,-1.72094774,0.67469829,0.19515693,0.05806985,-2.77772188,-2.65800905,-0.46828789,-0.16806626,-2.36803269,-0.55691522,0.44862062,-2.71017909,-1.80219567,0.84323823,1.17505908,0.01037914,-4.1588583,2.35284781,-4.61440468,-0.88325727,0.5288595,-0.90166616,2.98335385,0.43107906,1.32478321,0.18491751,-0.57467538,3.07649112,-3.21258998,0.59027898,2.22039318,3.03367233,-2.81586504,-0.85292065,-3.19726682,-3.64412713,0.63849211,1.94919658,-1.39255333,-2.21199179,-1.38862491,-3.03516531,4.87669992,0.08713156,-3.02792454,-0.39194024,4.36965847,-1.86907899,0.41312337,-3.95390415,1.60003996,2.83292937,-2.5398922,2.9908762,1.54132462,0.39524281,-0.319956956666666,-4.3542034655,4.8513478475,0.225047188045232
0.13542944,-2.46579528,3.17827511,-1.78659618,1.3936708,-2.61546683,0.46234727,-2.58627462,-0.32622105,-1.65656805,0.88983077,-0.07744658,1.1516664,0.47237691,5.49359608,-2.20158672,1.41447484,-0.51564997,0.15583688,-4.49019146,1.070961,-1.79056203,3.50306082,5.53061628,2.08147717,-1.24967527,0.68346411,-2.73483086,-2.71351624,-0.86523366,-4.57029438,-6.78400278,-0.51011896,-0.30314213,-1.72842181,0.28008062,-0.71563351,-0.37290064,-3.06670761,-0.29522425,1.82742012,-0.02468473,0.66814196,0.34343982,-1.05037069,1.98947096,-1.64060903,0.9661333,0.2284247,0.00479227,-1.66519117,-2.02371049,-0.95413947,-0.24754691,-2.27162504,-0.49472046,0.82286179,-2.83679008,-1.72599483,1.25845087,1.73066497,-0.34835935,-4.09565163,2.2664485,-4.42304802,-0.58659565,0.60034591,-0.40067559,2.96886277,0.72011518,1.56150115,-0.4397122,-0.82465094,3.22111225,-2.65422797,0.60530376,2.38699055,3.16993761,-3.23751163,-0.63239503,-3.4032979,-4.0505991,0.21266967,1.79791415,-1.12151635,-2.50242662,-1.59139085,-3.403162,4.78773069,-0.64611661,-3.02200508,0.24047279,4.52364206,-1.48825395,0.40953457,-4.18313599,1.45075703,3.06347847,-2.08207512,2.5677712,2.01865578,0.62977201,-0.289747745,-4.486834288,4.7745262585,0.227497978902502
-0.12390733,-2.24248338,3.58149767,-1.40104806,0.39868587,-2.60029626,0.52973837,-2.45827532,-0.53930902,-1.34830642,1.79816663,-0.08947575,1.31437397,1.07359087,5.22710133,-2.51700497,1.58872104,-0.61104143,0.74414289,-4.47327089,1.17302394,-2.40629697,3.52243519,5.43279648,2.46688938,-1.49485481,0.32618856,-2.57794213,-2.32064891,-0.90872419,-4.92256641,-6.80272484,-0.56349123,-0.5622353,-1.47302651,-0.18273205,-0.89174736,-0.17832145,-3.17491484,-0.48506558,2.05726719,0.06130236,0.14755484,0.27322221,-0.73722863,1.82596529,-1.50356197,1.23479652,0.27781218,-0.06644395,-0.50747061,-1.39741707,-1.38288283,-0.31644762,-2.12963462,-0.44646016,1.17007995,-2.92420363,-1.61988389,1.63048542,2.18499565,-0.68069744,-3.9572382,2.12069416,-4.11833382,-0.26475835,0.69764894,0.11533391,2.86274862,0.99193597,1.77616513,-1.03592539,-1.03270864,3.27656031,-2.02275276,0.60024929,2.50863194,3.22518921,-3.56393051,-0.37166986,-3.471452,-4.30811787,-0.21540499,1.58428586,-0.7805773,-2.72580528,-1.76179838,-3.61863995,4.54645491,-1.36847103,-2.90861464,0.82636762,4.50445175,-1.08387971,0.36962712,-4.34187746,1.3098377,3.18584728,-1.56441498,2.1478076,2.45685959,0.78493345,-0.251430890098039,-4.4667012185,4.544354752,0.22901574422051
-0.39269373,-2.00591087,3.87522149,-0.97162259,-0.58726948,-2.47112584,0.58404261,-2.30020308,-0.78794372,-0.99625438,2.63442612,-0.10867453,1.48761344,1.61676693,4.86264753,-2.76361418,1.7048794,-0.67979771,1.32234693,-4.31459713,1.22689366,-2.9088974,3.48454571,5.14778519,2.81559944,-1.70805466,-0.00644292,-2.32696748,-1.91767001,-0.94030952,-5.10104656,-6.63172054,-0.59853691,-0.79529417,-1.22045302,-0.59746146,-0.99812061,-0.00781972,-3.18845463,-0.67243588,2.21670175,0.10160655,-0.42330503,0.2076019,-0.41950017,1.64888442,-1.32014298,1.4655273,0.33843702,-0.15106016,0.65540564,-0.79401922,-1.73667824,-0.37078625,-1.94276834,-0.42181787,1.48003435,-2.96777344,-1.49465501,1.94628823,2.52152252,-0.97186631,-3.74878407,1.91324186,-3.71221375,0.07008386,0.81388581,0.62687838,2.66742992,1.24768758,1.96472454,-1.57699335,-1.19826853,3.24297786,-1.34053957,0.57478827,2.57960224,3.1992476,-3.78105927,-0.07705764,-3.39330077,-4.40152454,-0.62415522,1.31428027,-0.39246786,-2.87449098,-1.89076424,-3.67324305,4.16777992,-2.04545188,-2.68741751,1.33363605,4.32053185,-0.66852999,0.29126653,-4.43074608,1.18704391,3.19929385,-0.99290675,1.74215698,2.84165335,0.85117573,-0.206171924607843,-4.429285003,4.3128942535,0.228930830323423
-0.65716362,-1.76472509,4.05177355,-0.49819154,-1.53226042,-2.22822738,0.61983895,-2.11389136,-1.06475687,-0.61340982,3.37062693,-0.13681698,1.66466653,2.08236694,4.41049099,-2.92811251,1.75972843,-0.71815246,1.87961662,-4.02130556,1.22952819,-3.27158213,3.37703323,4.65299797,3.11030245,-1.88641274,-0.29675269,-1.9979564,-1.51614666,-0.9590379,-5.09675455,-6.27755356,-0.60873646,-1.00701201,-0.98234075,-0.95044786,-1.02915609,0.1297822,-3.09978151,-0.8440721,2.31137228,0.0935668,-1.01796293,0.14166701,-0.11719446,1.46523726,-1.1023674,1.64423132,0.40413433,-0.24428713,1.78361905,-0.2259112,-2.00197983,-0.40715379,-1.71251059,-0.42855042,1.74459517,-2.96310306,-1.36071086,2.19494414,2.72891521,-1.20950902,-3.47749209,1.64377916,-3.21980119,0.40371281,0.93986654,1.11310816,2.38871145,1.48910594,2.12406492,-2.03881788,-1.32263494,3.12323833,-0.63160098,0.5295856,2.59461451,3.09426236,-3.87817478,0.24315463,-3.16706014,-4.32130814,-0.9934625,0.9962669,0.01753545,-2.94355822,-1.97029316,-3.56598663,3.67149401,-2.644274,-2.36279535,1.73522782,3.98711538,-0.25385439,0.17485476,-4.45106316,1.08921027,3.10833812,-0.37486869,1.35950923,3.1605022,0.82459974,-0.155354412843137,-4.444575409,4.0485406415,0.226748415645585
-0.9039039,-1.52616775,4.10811806,0.01702034,-2.40725613,-1.87727797,0.632752,-1.90146065,-1.36017466,-0.21415964,3.98287392,-0.17522168,1.83740973,2.45403647,3.88266444,-3.00038481,1.75252044,-0.72415501,2.4056797,-3.60634828,1.17983866,-3.47343588,3.19172764,3.93537521,3.33492279,-2.02756906,-0.52973449,-1.60970759,-1.12640309,-0.96379209,-4.90808678,-5.75280094,-0.58842993,-1.20255566,-0.76861042,-1.23109138,-0.98309183,0.22829199,-2.90612507,-0.98688722,2.34913397,0.03832126,-1.60724032,0.07048869,0.15145577,1.28046036,-0.86329478,1.75865793,0.46791828,-0.34142029,2.83921337,0.29707712,-2.17018509,-0.42293334,-1.44123018,-0.47216111,1.95787776,-2.90630126,-1.22750068,2.36815834,2.80137467,-1.38436532,-3.15213871,1.31424809,-2.65882182,0.72052205,1.0646894,1.55279827,2.03558683,1.71809971,2.25211477,-2.40104866,-1.40865874,2.9227066,0.07946885,0.46632963,2.54908824,2.91456461,-3.8482933,0.57897806,-2.79782963,-4.06431484,-1.30558395,0.64060432,0.42314339,-2.93100595,-1.99393499,-3.3032217,3.08120155,-3.13551593,-1.94377494,2.01039839,3.52550125,0.14985669,0.02330053,-4.40471554,1.01988029,2.92251253,0.28089517,1.00594401,3.40291953,0.70713556,-0.100533977941177,-4.387695505,3.9327396715,0.222248863545041
-1.12053514,-1.29571009,4.04574299,0.56895137,-3.18719745,-1.42932546,0.61979413,-1.66538501,-1.66280127,0.18633538,4.45228291,-0.22460926,1.99658322,2.71930909,3.29252553,-2.97410011,1.68499947,-0.69780737,2.89089537,-3.08775997,1.0788275,-3.50047755,2.925457,2.99301529,3.47545648,-2.12970567,-0.69381016,-1.18280125,-0.75710654,-0.95334035,-4.54093504,-5.07546425,-0.53318393,-1.3869133,-0.58697981,-1.43243957,-0.86205524,0.28443122,-2.6097517,-1.08869982,2.33939576,-0.05929595,-2.16078472,-0.01045585,0.37099221,1.09824967,-0.61635947,1.79911637,0.52250254,-0.43804777,3.78766346,0.76759803,-2.23802042,-0.41648045,-1.13229918,-0.5556953,2.11625528,-2.79426551,-1.10305309,2.46063924,2.73874569,-1.49078929,-2.78252244,0.92897147,-2.04896569,1.00429916,1.17646456,1.9254353,1.61990952,1.93633115,2.34789062,-2.64800215,-1.46033454,2.64894915,0.7685498,0.38772511,2.43949032,2.6664505,-3.68845987,0.91907036,-2.29752016,-3.63423562,-1.54592192,0.25913328,0.79862237,-2.83782363,-1.9571842,-2.89825249,2.42317319,-3.49467635,-1.4437139,2.14559031,2.96204519,0.53398752,-0.15812707,-4.29412842,0.97919494,2.65584803,0.9640246,0.68497843,3.5606842,0.50640881,-0.0433854673529412,-4.2638449925,3.776314497,0.215569390258983
-1.29633451,-1.07684445,3.8703928,1.14935756,-3.85182977,-0.90047991,0.57962346,-1.4085474,-1.95989323,0.57279724,4.76570034,-0.2849955,2.13212037,2.87017059,2.65432453,-2.84711313,1.56132698,-0.64110273,3.32630181,-2.48767066,0.92965913,-3.34644628,2.58051753,1.83619833,3.5207057,-2.19160485,-0.78137046,-0.73855734,-0.41495746,-0.92641371,-4.00849581,-4.26819038,-0.44012415,-1.56429005,-0.44259581,-1.55158806,-0.67192483,0.2979269,-2.21796703,-1.13894629,2.2924149,-0.19108737,-2.64869189,-0.10486722,0.52953994,0.9205386,-0.37470531,1.75908422,0.56081736,-0.53026116,4.59924126,1.18058157,-2.20760417,-0.38726118,-0.7901957,-0.67967653,2.21825719,-2.62496948,-0.993599,2.47034907,2.54638791,-1.52706838,-2.37889791,0.49468976,-1.41116452,1.23912144,1.26310205,2.21233702,1.15592456,2.14482594,2.41144562,-2.76936245,-1.4823662,2.31137609,1.41299713,0.29739857,2.2636714,2.35789728,-3.39989901,1.25116479,-1.68443155,-3.04179764,-1.70361257,-0.13536845,1.12028944,-2.66790128,-1.85784054,-2.37058306,1.72504866,-3.70346236,-0.87977123,2.13493419,2.32691264,0.89176357,-0.36209744,-4.12222147,0.96398568,2.32609534,1.66255403,0.39776093,3.62798047,0.23528349,0.014351436372549,-4.000662508,3.8582721835,0.207266567258973
-1.42277157,-0.87102044,3.59158707,1.74667168,-4.38628244,-0.31134021,0.51269817,-1.13429022,-2.23792315,0.93048567,4.91612434,-0.35560256,2.2335546,2.90341973,1.98275685,-2.62166619,1.38792753,-0.55791992,3.70363402,-1.83111715,0.7376321,-3.01321316,2.16473293,0.4876585,3.46291256,-2.21269751,-0.78912961,-0.29799163,-0.10449946,-0.88181138,-3.33069062,-3.35735083,-0.30820733,-1.7375896,-0.33781567,-1.58986902,-0.42198613,0.27143091,-1.74284017,-1.12934518,2.21857405,-0.34601933,-3.04315042,-0.21525604,0.61938608,0.74760997,-0.15053824,1.63566613,0.5765264,-0.61480755,5.25013971,1.53294611,-2.08620501,-0.33590645,-0.42057449,-0.84214652,2.26435232,-2.39774299,-0.903328,2.39860129,2.23484421,-1.49551976,-1.95142615,0.02050215,-0.76684397,1.41030228,1.31314278,2.39774561,0.65971065,2.34363508,2.44376922,-2.76061702,-1.47972548,1.92086959,1.99253452,0.19976449,2.02119517,1.99824739,-2.98802376,1.56255233,-0.9825241,-2.30464339,-1.77190638,-0.52977902,1.36788857,-2.42777848,-1.69626963,-1.74490714,1.01455235,-3.75078773,-0.27220148,1.98032761,1.65265167,1.21830475,-0.57960612,-3.89243531,0.96812034,1.95378423,2.36297607,0.14340174,3.60145187,-0.08885372,0.0709294956862745,-3.731115885,3.6985249125,0.198348682789744
-1.4939189,-0.67777592,3.22200942,2.34607697,-4.78135872,0.31381065,0.42131391,-0.84642923,-2.48319888,1.24581707,4.90289402,-0.43480366,2.29050112,2.82082081,1.29256487,-2.30438852,1.17323208,-0.45381981,4.01533127,-1.14473474,0.5100621,-2.51081228,1.69114184,-1.01773596,3.29821587,-2.19308567,-0.71822917,0.11918944,0.17194319,-0.81851459,-2.53332615,-2.37200308,-0.13841474,-1.90801382,-0.27213493,-1.5528096,-0.12441611,0.21024311,-1.20066118,-1.05444932,2.1277051,-0.5109539,-3.31999302,-0.34264871,0.63731182,0.57834148,0.045441,1.42990255,0.56446838,-0.68920243,5.72330379,1.82322991,-1.88572764,-0.26422817,-0.03030562,-1.03885794,2.25665689,-2.11351585,-0.83426332,2.25000644,1.8192941,-1.40235889,-1.50964713,-0.48231125,-0.13715062,1.5053308,1.31655192,2.46982574,0.14852047,2.53157711,2.44661736,-2.623209,-1.45722842,1.48938823,2.49001336,0.0998176,1.71364319,1.59786832,-2.46230268,1.84060061,-0.22040272,-1.44691181,-1.74833059,-0.9112047,1.5257206,-2.1262846,-1.47556114,-1.04983795,0.31826979,-3.63340616,0.35652661,1.69112992,0.97265238,1.51052237,-0.80046135,-3.60878801,0.98303431,1.56111693,3.05038166,-0.08060575,3.48023129,-0.44508302,0.12465051372549,-3.5943482605,3.988576271,0.190240746805452
