Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
7.94797802,7.39027596,-13.82605648,3.19553995,3.5027225,2.24287462,7.40292168,2.19474483,2.13430023,14.39180183,-11.59956837,18.13769531,13.31499767,-3.35270357,4.07210493,1.38120365,16.52414322,-8.07065201,-11.89374542,-2.52945781,4.40661812,2.19646335,-3.6118896,-9.48735046,6.10723829,-7.56456089,1.48858154,7.68824911,4.559443,11.79421806,6.2891264,8.05480385,-0.02905563,-4.79722309,-5.36196852,-9.29824829,-4.08567381,1.28989947,-15.51002026,-11.68075848,6.59507847,-4.29816437,-12.33931541,-7.53275108,-2.10088253,-7.4045248,-2.6352005,4.01191998,-2.57810354,0.55748713,5.7451005,11.22772121,3.38805103,-4.75943136,-4.61782455,-8.26824188,-0.68012774,-8.31235123,5.21362972,-14.17861271,-17.86572266,1.09182346,2.98897552,4.32148123,-0.85949588,-23.88530731,-0.06474911,-2.89032364,4.16933632,-12.42217445,-2.40506721,-13.18787384,-8.96308994,2.53570628,-10.65162659,3.38381243,5.94576216,-2.29992938,9.70236778,-11.54961872,-9.41316223,0.03472185,4.42496538,-5.15649033,-6.74195576,-1.18463731,0.98009747,-0.286237,-4.66457272,-8.70444584,-11.59104347,-8.36439133,-11.58797932,5.37312269,-1.22777343,1.03717732,1.25493097,3.06925678,9.87017632,1.39314556,-1.2234833871,-15.51002026,14.39180183,0.788555434606101
7.68498278,6.85360813,-15.25257874,4.23396683,5.0056076,1.17413259,6.99524736,1.10143495,2.08159375,11.21375942,-11.40310097,18.97921371,11.95362759,-2.93135428,2.69534564,1.4191153,16.79206467,-7.84984398,-14.17338181,-2.85848761,4.7255249,2.49333191,-3.37478924,-7.07576084,7.2976265,-7.79553366,1.88215876,8.72670746,4.50551319,10.74685669,6.33804989,6.92491245,1.20357871,-4.9542551,-4.80600262,-9.09971714,-4.37968826,1.92989969,-15.01379013,-10.01500511,5.29705429,-1.4533186,-11.93954086,-8.49394512,-0.31191286,-6.51027584,-3.08662605,5.41890144,-3.73644304,0.12946874,4.24617052,10.70013809,3.90834522,-5.25505114,-3.55294871,-8.07753563,0.24449074,-6.71522045,3.99933982,-16.30189896,-17.66323853,1.50787711,1.58440995,3.93627214,-0.25173843,-21.35048103,0.98302978,-3.0856576,4.0211215,-13.01127911,-3.71614504,-10.79433823,-7.76349497,2.16405845,-11.63819981,3.02339435,5.22699261,-1.4415431,11.0446701,-12.85420609,-9.9539423,0.44171476,3.00794172,-4.81877041,-8.7676239,-1.12514353,1.93116975,-0.62915242,-2.94519353,-7.40107059,-11.63275242,-10.71147728,-12.72339439,5.78230524,-0.99851853,0.23328778,1.38329804,3.67184854,9.97768211,1.01540589,-1.2185711884,-16.30189896,11.95362759,0.778970180219891
7.23353767,6.26117897,-16.41115189,5.18049908,6.35238552,0.13203329,6.45605183,-0.02947408,1.97710133,7.86405373,-10.69480133,19.4907074,10.28581047,-2.53108406,1.22078252,1.35927796,16.74021912,-7.43221951,-16.04599762,-3.1125598,5.07617474,2.70701051,-3.12452316,-4.5230217,8.23173332,-8.06478024,2.16232347,9.56915855,4.34851789,9.6051302,6.11086273,5.64249325,2.50093985,-5.01717234,-4.17298603,-8.7349987,-4.55365562,2.55889702,-13.96309376,-7.96836138,3.7981317,1.28619885,-11.24761772,-9.25217819,1.42214704,-5.32975054,-3.41902828,6.69319153,-4.75706434,-0.30218035,2.64377213,9.76943779,4.24182224,-5.50383472,-2.55615497,-7.85931635,1.15071404,-4.9584837,2.71196747,-17.92035294,-17.03235626,1.95679486,0.23475188,3.31523848,0.2397387,-18.68104362,2.19070482,-3.20433855,3.77041245,-13.23342037,-4.817379,-8.37475395,-6.35647488,1.8946054,-12.34312057,2.61225367,4.49014282,-0.56484759,12.17805386,-13.88861179,-10.36307716,0.79989552,1.59112561,-4.32828426,-10.63637829,-1.05019045,2.85044861,-1.01727748,-1.10907996,-5.81140041,-11.23595047,-12.82378769,-13.45505619,5.9618907,-0.73906827,-0.5323841,1.55009294,4.28151035,9.82277489,0.58097994,-1.1797844592,-17.03235626,12.17805386,0.76762647835704
6.60769367,5.64566946,-17.27979469,6.0340004,7.51254368,-0.8520878,5.79282475,-1.16968143,1.82902074,4.41616344,-9.4909687,19.64044952,8.3452692,-2.16168308,-0.30887482,1.20979238,16.3786869,-6.83155251,-17.43897057,-3.27867079,5.4287405,2.84410167,-2.86682987,-1.92966712,8.84635544,-8.33652687,2.31946659,10.18994236,4.08461905,8.38447475,5.61610842,4.22774744,3.81279707,-4.98384428,-3.48845291,-8.23014355,-4.61903238,3.15516162,-12.37377262,-5.62312746,2.16409421,3.83225679,-10.26661301,-9.80669403,3.04779005,-3.90245152,-3.62081933,7.79874897,-5.61762047,-0.73405254,0.97567421,8.46361732,4.3967123,-5.46917152,-1.64991701,-7.62286186,1.99088979,-3.10239935,1.38281322,-18.96372604,-15.98698711,2.42073631,-0.9982667,2.4831109,0.62698519,-15.91625023,3.5149312,-3.23923182,3.39699268,-13.06136227,-5.69417906,-5.97124767,-4.80578041,1.72786462,-12.74897766,2.16540861,3.76804686,0.30442196,13.05948639,-14.61236954,-10.62276173,1.10806108,0.20866612,-3.72100163,-12.29463959,-0.95155001,3.70070553,-1.41742945,0.75803459,-4.00064659,-10.40446663,-14.63937283,-13.75840092,5.93199921,-0.4559539,-1.24160981,1.74750543,4.88493204,9.4121685,0.11138761,-1.1085682295,-17.27979469,13.05948639,0.75446186446267
5.82609463,5.0373168,-17.84150696,6.79612637,8.46048546,-1.74988794,5.01540184,-2.29117489,1.64670753,0.94555819,-7.83040857,19.40491486,6.17591476,-1.82918501,-1.8474021,0.98332596,15.72311401,-6.06716299,-18.29741669,-3.34863615,5.74960423,2.91400671,-2.60599566,0.60497475,9.09127522,-8.5710001,2.34941626,10.57004833,3.71411324,7.09736061,4.87404156,2.70601034,5.08519936,-4.85453129,-2.77713394,-7.61336613,-4.58971977,3.69574189,-10.28226852,-3.07538891,0.4657599,6.10545874,-9.01011467,-10.16037083,4.51630259,-2.27885866,-3.68762684,8.70569611,-6.30079317,-1.16264033,-0.71759474,6.82423162,4.3861742,-5.12623262,-0.85007161,-7.3741312,2.7228148,-1.20972002,0.04133591,-19.38221359,-14.55562019,2.87881708,-2.05889487,1.47432232,0.92955995,-13.08968639,4.90547132,-3.18632793,2.88671303,-12.48310089,-6.34003448,-3.61999273,-3.17938757,1.65737855,-12.85047054,1.69929194,3.09047818,1.14143682,13.65019417,-14.99359894,-10.71452808,1.36797416,-1.10827994,-3.0353694,-13.69501591,-0.82210362,4.44707203,-1.79694021,2.57047701,-2.04266977,-9.16029167,-16.10348892,-13.62534046,5.72113276,-0.15630525,-1.87908876,1.96472096,5.46559525,8.76091862,-0.37061134,-1.0075362083,-17.84150696,13.65019417,0.73960680441872
4.91117144,4.46288919,-18.08465195,7.46981335,9.1761322,-2.53707218,4.13615942,-3.36657572,1.4399786,-2.47191763,-5.77302647,18.77084732,3.83121109,-1.53567171,-3.3465662,0.6962738,14.79385185,-5.16280031,-18.58655548,-3.31975198,6.00270081,2.92817545,-2.34484482,2.98706603,8.93176651,-8.72702408,2.25378895,10.69754696,3.24175167,5.75395966,3.91579008,1.10724592,6.26257515,-4.63193083,-2.0618,-6.91360235,-4.48132896,4.15740538,-7.74484301,-0.43063736,-1.22451293,8.03816509,-7.50228214,-10.31912613,5.78555107,-0.51869202,-3.62283421,9.3911953,-6.79466295,-1.58410788,-2.39392328,4.90471506,4.22743893,-4.4637289,-0.16532737,-7.11467886,3.31189227,0.65651548,-1.28556871,-19.14909363,-12.7803688,3.30819988,-2.90035415,0.33172858,1.17294431,-10.23078632,6.3071413,-3.04505014,2.232687,-11.50269318,-6.75618935,-1.35119104,-1.54631138,1.67061496,-12.65454483,1.23127544,2.48302555,1.92315471,13.91696739,-15.0107708,-10.62044907,1.58375573,-2.33236384,-2.31055927,-14.79813957,-0.65646982,5.05873919,-2.12524629,4.24660301,-0.01665187,-7.542799,-17.17087555,-13.06441593,5.36462212,0.15229374,-2.43266129,2.18843365,6.00402308,7.89170361,-0.84213722,-0.8803868148,-18.08465195,13.91696739,0.723453151475951
3.88822174,3.94489956,-18.00331306,8.05775928,9.64540863,-3.19420362,3.17015195,-4.36934519,1.21836972,-5.76165915,-3.39744663,17.73682022,1.37304771,-1.27924371,-4.75777435,0.36782646,13.61519814,-4.1454277,-18.29303169,-3.19516444,6.15113449,2.89921856,-2.0847733,5.13223314,8.35050201,-8.76462078,2.0399971,10.56776714,2.67686343,4.36298752,2.78191853,-0.53468192,7.29001904,-4.3211112,-1.3623085,-6.15914583,-4.31045008,4.51769495,-4.83604479,2.20111585,-2.83639169,9.57710648,-5.7774353,-10.29133224,6.82150078,1.31127262,-3.43762469,9.83992577,-7.09286833,-1.99410152,-4.0109005,2.76819062,3.94077778,-3.48496819,0.40282783,-6.84083462,3.73279524,2.43518138,-2.57406235,-18.26247978,-10.71539783,3.68535161,-3.48742366,-0.89505142,1.38664579,-7.36667013,7.66196632,-2.81844735,1.43607068,-10.14027977,-6.95103168,0.81058359,0.0265739,1.7501241,-12.17979908,0.77907968,1.96616483,2.62909126,13.83337593,-14.65393639,-10.32463264,1.76110864,-3.4406333,-1.5847615,-15.57394218,-0.4515276,5.51054335,-2.37530184,5.71251869,1.99647224,-5.60714245,-17.80789185,-12.09997845,4.90278435,0.46193862,-2.8933754,2.40350533,6.47820473,6.83383751,-1.28132713,-0.7317662198,-18.00331306,13.61519814,0.706688146659297
2.78451061,3.50102711,-17.5975132,8.56102467,9.86056519,-3.70740128,2.13514853,-5.27399063,0.99053359,-8.85188389,-0.79770279,16.31428909,-1.12982106,-1.05430913,-6.03379917,0.0188942,12.21456909,-3.04391599,-17.42542458,-2.98385096,6.15891647,2.84004116,-1.82588339,6.96905899,7.34863949,-8.64758682,1.72106707,10.18324757,2.03326583,2.93272376,1.52058959,-2.18290353,8.11566067,-3.9293983,-0.69483805,-5.37647581,-4.09393024,4.75603676,-1.64645743,4.7104497,-4.30499172,10.68536472,-3.87912846,-10.08722305,7.59937954,3.13974142,-3.15071034,10.04436111,-7.19462872,-2.38759899,-5.52713585,0.48489147,3.54859638,-2.2083571,0.85991406,-6.54326916,3.97051668,4.06920338,-3.80361271,-16.74593353,-8.42483425,3.9873929,-3.79845524,-2.1516242,1.60202646,-4.5238471,8.91153908,-2.51309514,0.50643826,-8.43146992,-6.93922043,2.84569883,1.47758484,1.87494564,-11.45546532,0.36018842,1.55457282,3.24197865,13.38095284,-13.92563915,-9.81468678,1.90656137,-4.41488552,-0.89357674,-16.00279617,-0.2067517,5.78414345,-2.52482176,6.90534163,3.91753936,-3.42188501,-17.99404144,-10.77103233,4.37885427,0.76455522,-3.25542545,2.59370971,6.86430073,5.62208271,-1.66836989,-0.5670896433,-17.42542458,12.21456909,0.690282631853815
1.62841368,3.14382219,-16.8733902,8.97788143,9.82039261,-4.0686388,1.05162323,-6.05620003,0.76369667,-11.67524338,1.92081571,14.52812672,-3.6038115,-0.85205817,-7.13051987,-0.32899356,10.62164402,-1.8878293,-16.01366043,-2.70025635,5.99277782,2.76301956,-1.56713092,8.44183922,5.94612408,-8.34576893,1.31512916,9.55342865,1.32894909,1.47202754,0.18534541,-3.79862499,8.69299507,-3.46612167,-0.07142424,-4.58922243,-3.84815001,4.85486507,1.72030497,6.99364901,-5.57398987,11.34377003,-1.85884583,-9.71852684,8.10442924,4.89369535,-2.7875104,10.00463581,-7.10459137,-2.75881147,-6.90357113,-1.87065327,3.07448339,-0.66718566,1.21781814,-6.20703697,4.02084112,5.50751495,-4.95700836,-14.64796352,-5.98018551,4.19345808,-3.82671356,-3.38110852,1.85002112,-1.7297349,9.99935722,-2.13889074,-0.53833663,-6.42609024,-6.74065113,4.73859835,2.75294399,2.0220964,-10.51974106,-0.00878271,1.25667799,3.7482729,12.55017185,-12.84115887,-9.08317757,2.02666926,-5.24179983,-0.26863027,-16.07607841,0.07557273,5.86901283,-2.55723548,7.77593136,5.67252684,-1.06608188,-17.72312164,-9.12924862,3.8367393,1.05202615,-3.51597118,2.74256516,7.13750076,4.29526711,-1.98645067,-0.3923246055,-16.07607841,11.34377003,0.675418160555964
0.44855011,2.88062692,-15.84319019,9.30298328,9.530303,-4.27595139,-0.05747294,-6.69306087,0.5432632,-14.17027283,4.64597034,12.41635323,-5.97290134,-0.66117275,-8.00861359,-0.65471447,8.86773682,-0.706218,-14.10763454,-2.36357236,5.6239996,2.67926526,-1.30655515,9.51260853,4.18112898,-7.83709335,0.84466386,8.69410801,0.58557105,-0.00873685,-1.16733432,-5.34234858,8.98313999,-2.9423306,0.50026286,-3.81741834,-3.58836436,4.80068398,5.15115547,8.95756721,-6.59823418,11.5514698,0.22576363,-9.19811249,8.3322258,6.50127983,-2.37899327,9.72825718,-6.83252525,-3.10119534,-8.10475254,-4.22256947,2.54235268,1.09130263,1.49389052,-5.8120594,3.8901372,6.70679903,-6.02013969,-12.04041386,-3.45744681,4.28596449,-3.58085489,-4.52646255,2.15884662,0.98613453,10.87325287,-1.70858073,-1.67261529,-4.18618488,-6.37925625,6.47678804,3.80903578,2.16811085,-9.41783237,-0.31274939,1.07446885,4.13847589,11.34122944,-11.4282608,-8.12892914,2.12732339,-5.91285229,0.26360929,-15.79631138,0.39040387,5.76287746,-2.46236157,8.29086781,7.19564342,1.37421966,-17.00366974,-7.23662233,3.31879473,1.31632447,-3.67483783,2.83413792,7.27312374,2.89487743,-2.22247982,-0.2137432982,-15.79631138,11.34122944,0.663347856009628
